FIRST_LINE,DRUG_EFF_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.85,0,9.55890411,14.9260274,17.71506849
0,0.85,0,11.10958904,18.30684932,21.1369863
0,0.85,0,8.326027397,16.05753425,19.29315068
0,0.85,0,11.6109589,19.74520548,23.00273973
0,0.85,0,9.139726027,16.49315068,19.54246575
0,0.85,0,9.58630137,16.15616438,18.97260274
0,0.85,0,14.09315068,21.08767123,23.91780822
0,0.85,0,6.646575342,15.07945205,18.7260274
0,0.85,0,11,21.16712329,24.46849315
0,0.85,0,9.539726027,15.41917808,18.3260274
0,0.85,0,11.50684932,17.20547945,20.41917808
0,0.85,0,7.435616438,13.46849315,16.36438356
0,0.85,0,8.997260274,17.84657534,21.56164384
0,0.85,0,5.884931507,12.9369863,15.65753425
0,0.85,0,7.101369863,13.67671233,16.79452055
0,0.85,0,10.04657534,19.24657534,22.25753425
0,0.85,0,5.17260274,11.51232877,14.50136986
0,0.85,0,12.26027397,18.55890411,21.41917808
0,0.85,0,11.45479452,21.54520548,24.5890411
0,0.85,0,6.098630137,11.96164384,15.1260274
0,0.85,0,9.024657534,17.24931507,20.0109589
0,0.85,0,6.002739726,15.23835616,18.08493151
0,0.85,0,5.147945205,11.1890411,14.61917808
0,0.85,0,11.42465753,20.91506849,23.57260274
0,0.85,0,11.47123288,19.74246575,22.9369863
0,0.85,0,5.821917808,13.2739726,16.24109589
0,0.85,0,8.953424658,15.15890411,18.69315068
0,0.85,0,11.27123288,19.12876712,22.67671233
0,0.85,0,6.58630137,13.90136986,17.01917808
0,0.85,0,8.378082192,17.68493151,20.39726027
0,0.85,0,6.904109589,14.11506849,17
0,0.85,0,4.934246575,10.99452055,14.02191781
0,0.85,0,10.65205479,17.50684932,21.06849315
0,0.85,0,7.205479452,13.77534247,16.51506849
0,0.85,0,8.183561644,14.04931507,17.22191781
0,0.85,0,6.624657534,14.80547945,17.84383562
0,0.85,0,7.128767123,18.00547945,20.99452055
0,0.85,0,5.838356164,12.45479452,16.16164384
0,0.85,0,6.112328767,12.77808219,16.21643836
0,0.85,0,5.380821918,11.89589041,15.14794521
0,0.85,0,10.60821918,18.31232877,21.63835616
0,0.85,0,8.564383562,14.75068493,17.62191781
0,0.85,0,9.663013699,18.17534247,21.42739726
0,0.85,0,5.210958904,10.94246575,14.29041096
0,0.85,0,12.18082192,19.14520548,21.97534247
0,0.85,0,6.58630137,14.43287671,17.96438356
0,0.85,0,3.416438356,10.6109589,14.06575342
0,0.85,0,10.10684932,17.6630137,20.31232877
0,0.85,0,7.6,16.26027397,19.68767123
0,0.85,0,6.276712329,11.78356164,14.89589041
0,0.85,0.01,12.72054795,19.56438356,22.72328767
0,0.85,0.01,6.471232877,13.34520548,16.30410959
0,0.85,0.01,4.210958904,12.01643836,14.9260274
0,0.85,0.01,9.139726027,19.09041096,22.60273973
0,0.85,0.01,5.643835616,12.16164384,15.33150685
0,0.85,0.01,7.619178082,13.00273973,16.08219178
0,0.85,0.01,5,10.54246575,13.03013699
0,0.85,0.01,8.142465753,14.84383562,17.63835616
0,0.85,0.01,9.361643836,17.02739726,20.09863014
0,0.85,0.01,6.728767123,14,17.11506849
0,0.85,0.01,5.076712329,14.24109589,17.65205479
0,0.85,0.01,3.180821918,10.78356164,13.68219178
0,0.85,0.01,5.854794521,13.20273973,16.52328767
