FIRST_LINE,CR_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.9,0.1,5.224657534,10.37534247,13.43835616
0,0.9,0.1,4.145205479,10.47123288,13.64109589
0,0.9,0.1,6.364383562,11.5890411,14.76986301
0,0.9,0.1,4.945205479,10.90136986,13.79726027
0,0.9,0.1,6.230136986,12.31232877,15.2
0,0.9,0.1,5.405479452,10.44383562,13.71232877
0,0.9,0.1,4.539726027,10.2109589,13.8
0,0.9,0.1,5.117808219,11.50958904,14.78082192
0,0.9,0.1,5.621917808,12.45205479,15.50958904
0,0.9,0.1,6.04109589,10.66849315,13.45479452
0,0.9,0.1,6.010958904,11.57534247,14.59178082
0,0.9,0.1,4.405479452,10.61369863,13.77534247
0,0.9,0.1,4.01369863,10.48767123,14.03013699
0,0.9,0.1,3.610958904,10.00273973,12.89589041
0,0.9,0.1,3.063013699,8.81369863,11.71506849
0,0.9,0.1,4.77260274,11.05205479,14.11780822
0,0.9,0.1,4.076712329,12.36712329,15.54794521
0,0.9,0.1,3.843835616,10.63561644,14.05205479
0,0.9,0.1,3.950684932,9.468493151,12.22739726
0,0.9,0.1,4.123287671,9.739726027,12.70958904
0,0.9,0.1,4.654794521,10.8,14.08493151
0,0.9,0.1,4.263013699,9.876712329,13.03561644
0,0.9,0.1,5.673972603,11.08493151,14.2630137
0,0.9,0.1,7.043835616,13.24109589,16.64931507
0,0.9,0.1,4.010958904,10.27671233,13.72328767
0,0.9,0.1,4.246575342,9.821917808,12.77534247
0,0.9,0.1,6.290410959,13.71232877,17.10684932
0,0.9,0.1,4.430136986,8.780821918,11.76438356
0,0.9,0.1,3.887671233,9.961643836,12.89589041
0,0.9,0.1,7.252054795,12.75342466,16.21643836
0,0.9,0.1,3.298630137,9.293150685,12.11780822
0,0.9,0.1,3.857534247,9.789041096,13.1260274
0,0.9,0.1,4.449315068,10.32328767,12.8739726
0,0.9,0.1,6.284931507,11.61369863,14.74246575
0,0.9,0.1,5.183561644,10.68767123,13.79452055
0,0.9,0.1,5.180821918,11.51232877,14.50410959
0,0.9,0.1,6.967123288,13.58630137,16.72876712
0,0.9,0.1,3.912328767,10.11232877,12.79178082
0,0.9,0.1,6.389041096,12.95068493,16.52054795
0,0.9,0.1,4.460273973,10.12328767,13.00273973
0,0.9,0.1,5.449315068,11.74794521,15.27123288
0,0.9,0.1,4.326027397,11.33150685,14.55068493
0,0.9,0.1,6.120547945,12.09589041,15.25205479
0,0.9,0.1,5.342465753,12.33424658,14.98630137
0,0.9,0.1,3.893150685,10.64931507,13.83561644
0,0.9,0.1,4.471232877,9.893150685,13.15890411
0,0.9,0.1,4.84109589,9.454794521,12.6739726
0,0.9,0.1,5.556164384,11.57260274,14.64931507
0,0.9,0.1,5.15890411,10.85205479,13.65479452
0,0.9,0.1,5.704109589,9.860273973,13.15342466
0,0.9,0.25,3.980821918,8.731506849,11.80273973
0,0.9,0.25,2.934246575,9.161643836,12.89041096
0,0.9,0.25,3.205479452,8.805479452,12.70410959
0,0.9,0.25,4.145205479,11.31232877,14.05205479
0,0.9,0.25,3.504109589,9.863013699,12.89315068
0,0.9,0.25,3.553424658,7.961643836,11.2109589
0,0.9,0.25,3.279452055,8.282191781,11.98082192
0,0.9,0.25,2.317808219,8.134246575,11.55616438
0,0.9,0.25,3.38630137,9.030136986,12.45205479
0,0.9,0.25,4.115068493,9.693150685,13.14246575
0,0.9,0.25,2.320547945,9.591780822,13.16712329
0,0.9,0.25,3.534246575,9.279452055,12.61643836
0,0.9,0.25,1.991780822,8.890410959,12.31780822
0,0.9,0.25,2.915068493,8.55890411,11.57260274
0,0.9,0.25,4.084931507,9.180821918,12.17534247
0,0.9,0.25,2.501369863,9.369863014,12.84657534
0,0.9,0.25,2.745205479,8.367123288,11.12876712
0,0.9,0.25,3.830136986,8.723287671,12.23561644
0,0.9,0.25,2.791780822,8.035616438,11.07123288
0,0.9,0.25,3.361643836,8.991780822,12.09863014
0,0.9,0.25,3.668493151,8.668493151,11.83835616
