FIRST_LINE,CLINICAL_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,1.15,0.1,3.520547945,8.432876712,11.32054795
0,1.15,0.1,3.405479452,8.676712329,11.71780822
0,1.15,0.1,3.380821918,8.476712329,11.07945205
0,1.15,0.1,3.394520548,8.769863014,11.64657534
0,1.15,0.1,3.663013699,9.917808219,12.43835616
0,1.15,0.1,4.654794521,9.676712329,12.71506849
0,1.15,0.1,4.054794521,8.912328767,11.93150685
0,1.15,0.1,4.389041096,9.589041096,11.97808219
0,1.15,0.1,3.912328767,10.47945205,12.97260274
0,1.15,0.1,4.134246575,8.778082192,11.19726027
0,1.15,0.1,4.342465753,11.59726027,14.40821918
0,1.15,0.1,2.457534247,7.345205479,9.775342466
0,1.15,0.1,6.230136986,10.77260274,13.76164384
0,1.15,0.1,3.835616438,8.728767123,11.75342466
0,1.15,0.1,3.709589041,9.789041096,12.6
0,1.15,0.1,3.602739726,9.134246575,11.89589041
0,1.15,0.1,3.361643836,9.317808219,11.88219178
0,1.15,0.1,3.421917808,9.052054795,11.56986301
0,1.15,0.1,4.583561644,9.819178082,12.7260274
0,1.15,0.1,5.893150685,12.37808219,15.28493151
0,1.15,0.1,4.230136986,9.035616438,12.15890411
0,1.15,0.1,4.690410959,10.60273973,13.13972603
0,1.15,0.1,3.473972603,9.723287671,12.68493151
0,1.15,0.1,4.742465753,9.295890411,12.2109589
0,1.15,0.1,3.95890411,10.04657534,12.80273973
0,1.15,0.1,3.38630137,7.726027397,10.30136986
0,1.15,0.1,5.747945205,10.16438356,12.84109589
0,1.15,0.1,4.920547945,10.1369863,12.8739726
0,1.15,0.1,4.01369863,9.101369863,12.03561644
0,1.15,0.1,5.191780822,10.42739726,13.01369863
0,1.15,0.1,5.336986301,10.60547945,13.07945205
0,1.15,0.1,4.663013699,10.88767123,13.44383562
0,1.15,0.1,3.556164384,8.964383562,11.80273973
0,1.15,0.1,5.194520548,10.45479452,13.50684932
0,1.15,0.1,3.863013699,8.145205479,10.52328767
0,1.15,0.1,3.728767123,8.430136986,11.04383562
0,1.15,0.1,3.989041096,9.950684932,12.29589041
0,1.15,0.1,4.35890411,9.501369863,12.25753425
0,1.15,0.1,2.791780822,8.002739726,10.71780822
0,1.15,0.1,3.183561644,8.761643836,11.21643836
0,1.15,0.1,2.484931507,8.071232877,10.6109589
0,1.15,0.1,3.345205479,9.463013699,11.86027397
0,1.15,0.1,6.460273973,12.30684932,14.89041096
0,1.15,0.1,4.093150685,8.432876712,11.39178082
0,1.15,0.1,3.446575342,8.457534247,11.50958904
0,1.15,0.1,4.564383562,10.03287671,12.5890411
0,1.15,0.1,4.663013699,10.01917808,12.61643836
0,1.15,0.1,3.536986301,8.994520548,11.56438356
0,1.15,0.1,3.980821918,8.994520548,11.6739726
0,1.15,0.1,3.449315068,9.457534247,12.29315068
0,1.15,0.25,2.136986301,7.536986301,10.15342466
0,1.15,0.25,2.515068493,7.561643836,10.27671233
0,1.15,0.25,3.690410959,7.860273973,10.25205479
0,1.15,0.25,2.860273973,7.747945205,11.1369863
0,1.15,0.25,2.482191781,7.17260274,9.75890411
0,1.15,0.25,2.145205479,6.646575342,9.208219178
0,1.15,0.25,2.339726027,7.019178082,10.04657534
0,1.15,0.25,2.030136986,6.736986301,9.567123288
0,1.15,0.25,2.257534247,6.742465753,9.624657534
0,1.15,0.25,2.336986301,6.912328767,9.57260274
0,1.15,0.25,3.005479452,6.928767123,9.452054795
0,1.15,0.25,2.78630137,8.016438356,11.01917808
0,1.15,0.25,3.268493151,8.397260274,10.87123288
0,1.15,0.25,2.569863014,6.975342466,9.260273973
0,1.15,0.25,2.109589041,6.887671233,9.42739726
0,1.15,0.25,3.991780822,9.419178082,11.8739726
0,1.15,0.25,3.416438356,8.4,11.24383562
0,1.15,0.25,3.695890411,7.419178082,10.63013699
0,1.15,0.25,2.989041096,8.569863014,11.71780822
0,1.15,0.25,2.589041096,8.550684932,11.51506849
0,1.15,0.25,3.04109589,8.315068493,11.2
0,1.15,0.25,2.95890411,7.791780822,10.35342466
0,1.15,0.25,2.904109589,7.164383562,9.917808219
0,1.15,0.25,2.715068493,7.030136986,10.39178082
0,1.15,0.25,1.819178082,7.084931507,10.13150685
0,1.15,0.25,2.567123288,8.42739726,10.74246575
0,1.15,0.25,3.232876712,7.742465753,10.47945205
0,1.15,0.25,2.745205479,7.753424658,10.30958904
0,1.15,0.25,2.410958904,6.934246575,9.706849315
0,1.15,0.25,3.02739726,7.753424658,10.56164384
0,1.15,0.25,2.504109589,7.304109589,10.16986301
0,1.15,0.25,2.553424658,8.169863014,10.86849315
0,1.15,0.25,2.975342466,7.246575342,9.928767123
0,1.15,0.25,3.257534247,8.101369863,10.8739726
0,1.15,0.25,2.547945205,6.660273973,9.542465753
0,1.15,0.25,3.501369863,8.882191781,11.68767123
0,1.15,0.25,3.632876712,8.712328767,11.84383562
0,1.15,0.25,2.654794521,8.032876712,10.92054795
0,1.15,0.25,2.668493151,8.663013699,11.56712329
0,1.15,0.25,2.895890411,7.131506849,9.898630137
0,1.15,0.25,3.77260274,8.898630137,11.81917808
0,1.15,0.25,2.728767123,6.78630137,9.298630137
0,1.15,0.25,3.268493151,9.509589041,12.32876712
0,1.15,0.25,2.852054795,7.975342466,10.76164384
0,1.15,0.25,3.504109589,8.816438356,11.54794521
0,1.15,0.25,2.408219178,7.747945205,10.15616438
0,1.15,0.25,3.254794521,7.876712329,10.40547945
0,1.15,0.25,3.104109589,7.926027397,10.7890411
0,1.15,0.25,2.484931507,6.838356164,9.421917808
0,1.15,0.25,2.810958904,8.024657534,10.89315068
0,1.15,0.5,1.624657534,6.57260274,9.139726027
0,1.15,0.5,1.460273973,6.128767123,8.591780822
0,1.15,0.5,2.010958904,7.032876712,9.794520548
0,1.15,0.5,1.504109589,6.394520548,9.049315068
0,1.15,0.5,1.331506849,6.498630137,9.695890411
0,1.15,0.5,1.835616438,5.860273973,8.739726027
0,1.15,0.5,1.84109589,7.068493151,9.95890411
0,1.15,0.5,1.917808219,6.463013699,9.019178082
0,1.15,0.5,1.4,6.457534247,9.282191781
0,1.15,0.5,2.076712329,7.230136986,10.31232877
0,1.15,0.5,1.739726027,5.789041096,8.523287671
0,1.15,0.5,1.35890411,6.17260274,9.402739726
0,1.15,0.5,1.715068493,6.161643836,9.087671233
0,1.15,0.5,1.35890411,6.123287671,9.145205479
0,1.15,0.5,1.273972603,6.008219178,8.734246575
0,1.15,0.5,1.97260274,6.652054795,9.687671233
0,1.15,0.5,2.323287671,7.219178082,10.05753425
0,1.15,0.5,1.791780822,6.435616438,9.282191781
0,1.15,0.5,2.197260274,6.906849315,10.14246575
0,1.15,0.5,1.871232877,5.810958904,8.345205479
0,1.15,0.5,2.646575342,6.569863014,9.249315068
0,1.15,0.5,1.684931507,6.249315068,9.252054795
0,1.15,0.5,2.35890411,8.282191781,11.31506849
0,1.15,0.5,2.402739726,7.8,10.3890411
0,1.15,0.5,1.449315068,5.830136986,8.676712329
0,1.15,0.5,2.164383562,7.010958904,9.926027397
0,1.15,0.5,2.054794521,6.391780822,9.471232877
0,1.15,0.5,2.342465753,7.578082192,10.31780822
0,1.15,0.5,2.347945205,7.194520548,10.05753425
0,1.15,0.5,1.706849315,6.893150685,10.25205479
