"","PFPR","TREATMENT_COVERAGE","STARTING_PARTNER_DRUG_FREQ","rep","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_PARTNER_DRUG_RES_FREQ_TO_1p","TIME_PARTNER_DRUG_RES_FREQ_TO_5p","TIME_PARTNER_DRUG_RES_FREQ_TO_10p","TIME_PARTNER_DRUG_RES_FREQ_TO_20p","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5"
"1",5,0.2,0,1,3.17808219178082,33.0958904109589,NA,4.16438356164383,17.4794520547945,22.6575342465753,29.972602739726,28.5753424657534,NA,0.174625,21,13,20,16,23
"2",5,0.2,0,2,3.83561643835617,37.5342465753425,NA,6.71232876712329,22.0821917808219,26.8493150684931,32.1095890410959,31.9452054794521,NA,0.154525,12,21,28,29,20
"3",5,0.2,0,3,6.38356164383562,34.6575342465753,NA,12.3835616438356,26.1095890410959,31.041095890411,39.4246575342466,33.0958904109589,NA,0.122375,16,11,16,21,21
"4",5,0.2,0,4,4.41095890410959,31.6986301369863,NA,12.958904109589,30.6301369863014,34.1643835616438,NA,35.1506849315069,NA,0.1126,18,23,27,22,21
"5",5,0.2,0,5,6.63013698630137,28.986301369863,NA,8.35616438356164,13.6986301369863,19.7808219178082,31.5342465753425,23.8904109589041,NA,0.18695,19,19,29,23,18
"6",5,0.2,0,6,8.6027397260274,27.6712328767123,NA,11.4794520547945,17.1506849315069,23.0684931506849,31.2876712328767,26.2739726027397,NA,0.167075,16,13,15,27,23
"7",5,0.2,0,7,8.68493150684931,31.6986301369863,39.5068493150685,6.46575342465754,17.3150684931507,20.2739726027397,25.9452054794521,24.958904109589,39.5890410958904,0.210525,16,20,23,23,19
"8",5,0.2,0,8,7.78082191780822,28.4931506849315,NA,7.61643835616438,16.0821917808219,21.8356164383562,30.3835616438356,25.3698630136986,NA,0.184,21,20,26,24,17
"9",5,0.2,0,9,9.83561643835617,NA,NA,4.9041095890411,24.3835616438356,32.7671232876712,NA,36.3835616438356,NA,0.1118,13,23,16,12,26
"10",5,0.2,0,10,5.3972602739726,NA,NA,7.04109589041096,19.8630136986301,24.4657534246575,30.7945205479452,27.5890410958904,NA,0.1467,25,11,17,21,23
"11",5,0.2,0,11,14.7671232876712,NA,NA,4.08219178082192,10.3287671232877,17.2328767123288,30.3835616438356,20.2739726027397,NA,0.171975,19,26,13,21,17
"12",5,0.2,0,12,3.83561643835617,21.0958904109589,38.6027397260274,8.84931506849315,16.2465753424658,20.9315068493151,33.013698630137,22.3287671232877,NA,0.1834,15,19,23,28,22
"13",5,0.2,0,13,13.2876712328767,30.3013698630137,NA,5.15068493150685,15.8356164383562,23.7260273972603,32.7671232876712,27.7534246575342,NA,0.16905,13,15,26,21,19
"14",5,0.2,0,14,6.38356164383562,NA,NA,7.94520547945206,29.6438356164384,36.7945205479452,NA,NA,NA,0.099925,16,13,15,20,20
"15",5,0.2,0,15,10.7397260273973,NA,NA,9.83561643835617,23.0684931506849,30.5479452054795,38.7671232876712,32.3561643835616,NA,0.1222,17,10,18,16,18
"16",5,0.2,0,16,12.958904109589,29.8082191780822,38.6849315068493,8.27397260273973,19.041095890411,22.3287671232877,27.5068493150685,25.041095890411,37.8630136986301,0.213325,18,14,17,15,19
"17",5,0.2,0,17,11.6438356164384,35.7260273972603,NA,6.46575342465754,21.1780821917808,30.0547945205479,39.3424657534247,29.972602739726,NA,0.129525,14,18,23,20,19
"18",5,0.2,0,18,8.6027397260274,NA,NA,8.35616438356164,23.5616438356164,32.3561643835616,NA,37.5342465753425,NA,0.109725,7,31,19,18,21
"19",5,0.2,0,19,6.54794520547945,29.8904109589041,NA,6.21917808219178,14.1095890410959,21.9178082191781,30.2191780821918,23.2328767123288,NA,0.19295,19,16,13,28,13
"20",5,0.2,0,20,5.64383561643836,NA,NA,14.7671232876712,27.0958904109589,33.3424657534247,NA,32.1917808219178,NA,0.108625,13,20,17,24,28
"21",5,0.2,0,21,8.10958904109589,32.7671232876712,NA,6.63013698630137,14.6027397260274,24.0547945205479,29.1506849315069,23.3972602739726,NA,0.177825,25,28,29,25,32
"22",5,0.2,0,22,29.8904109589041,NA,NA,7.04109589041096,23.7260273972603,29.4794520547945,35.1506849315069,29.972602739726,NA,0.13295,12,23,16,25,20
"23",5,0.2,0,23,6.7945205479452,33.7534246575342,NA,10.9041095890411,16.4931506849315,22.2465753424658,31.7808219178082,27.8356164383562,NA,0.176775,18,17,14,17,20
"24",5,0.2,0,24,11.0684931506849,35.0684931506849,NA,9.58904109589041,22.9041095890411,29.8082191780822,NA,28.4931506849315,NA,0.124225,14,14,12,18,17
"25",5,0.2,0,25,12.2191780821918,NA,NA,3.83561643835617,7.78082191780822,12.958904109589,18.3013698630137,15.4246575342466,NA,0.215975,18,22,15,23,24
"26",5,0.2,0,26,9.01369863013699,28.7397260273973,NA,9.17808219178082,23.8904109589041,30.4657534246575,36.958904109589,30.5479452054795,NA,0.143275,14,17,23,15,20
"27",5,0.2,0,27,8.68493150684931,NA,NA,9.34246575342466,26.3561643835616,35.0684931506849,NA,32.2739726027397,NA,0.1049,14,18,23,15,15
"28",5,0.2,0,28,10.6575342465753,NA,NA,10.6575342465753,32.1917808219178,NA,NA,NA,NA,0.1015,19,17,18,21,20
"29",5,0.2,0,29,8.35616438356164,36.7945205479452,NA,9.67123287671233,18.958904109589,23.5616438356164,29.4794520547945,28.0821917808219,NA,0.163675,14,17,7,17,18
"30",5,0.2,0,30,7.04109589041096,31.041095890411,NA,7.6986301369863,17.3972602739726,21.3424657534247,31.6986301369863,27.8356164383562,NA,0.1707,23,24,21,16,16
"31",5,0.2,0,31,8.19178082191781,36.2191780821918,NA,15.1780821917808,27.9178082191781,37.7808219178082,NA,39.0958904109589,NA,0.1088,16,21,19,12,15
"32",5,0.2,0,32,15.5890410958904,36.1369863013699,NA,3.26027397260274,10.4931506849315,14.4383561643836,20.6027397260274,19.7808219178082,NA,0.23295,14,10,23,31,15
"33",5,0.2,0,33,8.19178082191781,38.4383561643836,NA,16.3287671232877,26.5205479452055,30.8767123287671,38.7671232876712,34.0821917808219,NA,0.114925,23,23,20,15,25
"34",5,0.2,0,34,6.7945205479452,NA,NA,6.21917808219178,12.7945205479452,18.6301369863014,24.5479452054795,23.972602739726,NA,0.198875,17,21,18,15,21
"35",5,0.2,0,35,7.12328767123288,26.2739726027397,39.3424657534247,5.89041095890411,13.6986301369863,16.7397260273973,24.4657534246575,16.4109589041096,34.8219178082192,0.232125,16,17,16,22,10
"36",5,0.2,0,36,10,NA,NA,4.82191780821918,17.6438356164384,26.7671232876712,32.4383561643836,27.8356164383562,NA,0.15315,20,22,14,21,18
"37",5,0.2,0,37,7.53424657534246,26.1917808219178,NA,5.56164383561644,20.7671232876712,26.2739726027397,35.7260273972603,25.4520547945205,NA,0.147225,15,17,22,15,16
"38",5,0.2,0,38,7.45205479452055,39.8356164383562,NA,6.13698630136986,20.7671232876712,29.6438356164384,39.4246575342466,34.6575342465753,NA,0.1317,16,20,20,10,19
"39",5,0.2,0,39,8.43835616438356,34.6575342465753,NA,5.31506849315069,13.2054794520548,18.4657534246575,29.1506849315069,17.0684931506849,NA,0.204125,23,18,19,17,23
"40",5,0.2,0,40,4.57534246575343,NA,NA,6.13698630136986,27.7534246575342,33.5068493150685,39.2602739726027,35.1506849315069,NA,0.1142,31,29,28,36,23
