FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
2,0,22.430137,37.7753425,45,45,45,276,272,291,316,355,21.021,1504534
2,0,3.49863014,12.5068493,19.4273973,18.509589,45,314,317,293,302,321,21.3888,1497003
2,0,10.4219178,32.0219178,45,38.6082192,45,308,309,297,312,341,21.0959,1492225
2,0,9.50410959,16.5945205,25.0191781,24.7671233,45,280,292,293,331,305,21.3355,1503401
2,0,18.1753425,45,45,45,45,284,299,317,296,334,21.0732,1501891
2,0,21.2630137,36.109589,45,45,45,304,323,302,317,306,21.105,1519793
2,0,22.5972603,45,45,45,45,297,288,322,333,320,21.0036,1502293
2,0,25.1041096,38.860274,45,45,45,280,288,297,294,346,21.0715,1506300
2,0,8.5890411,36.6082192,45,45,45,291,306,327,304,307,21.0829,1505908
2,0,28.6027397,45,45,45,45,288,333,327,316,350,20.9476,1495515
2,0,7.75342466,27.1808219,37.1123288,37.0273973,45,295,296,280,273,335,21.1326,1520065
2,0,3.75068493,17.509589,26.1808219,26.1041096,45,296,284,327,309,317,21.1568,1486000
2,0,7.00547945,20.0136986,27.8520548,26.6,45,297,286,306,318,323,21.2745,1505137
2,0,12.8438356,28.4356164,39.1123288,36.860274,45,286,299,303,331,317,21.129,1509912
2,0,14.0109589,33.1863014,45,45,45,290,309,285,321,321,21.047,1490715
2,0,7.67123288,24.3479452,31.769863,31.8547945,45,323,336,329,309,347,21.208,1510484
2,0,15.0958904,29.1068493,37.860274,37.9424658,45,285,283,307,327,298,21.0524,1516275
2,0,11.169863,38.2739726,45,45,45,306,286,331,324,295,21.0223,1506058
2,0,9.25479452,20.9315068,28.8547945,27.5150685,45,298,272,305,321,288,21.2396,1503116
2,0,5.16712329,33.939726,45,45,45,279,330,292,299,358,21.0106,1504615
2,0.01,5.09041096,22.3452055,28.6027397,25.9342466,45,294,324,315,327,300,21.2977,1503046
2,0.01,10.2547945,29.769863,45,37.3561644,45,279,289,308,322,277,21.2243,1506055
2,0.01,6.92054795,22.3452055,33.7726027,30.1068493,45,294,296,311,301,316,21.16,1500611
2,0.01,13.339726,29.769863,36.5232877,35.0246575,45,312,291,287,303,335,21.1833,1509265
2,0.01,8.5890411,24.3479452,31.2684932,31.2684932,45,262,340,294,311,326,21.1608,1503138
2,0.01,18.7616438,29.1835616,37.6082192,36.4410959,45,281,268,330,289,278,21.1478,1503842
