PFPR,TREATMENT_COVERAGE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,TIME_PARTNER_DRUG_RES_FREQ_TO_1p,TIME_PARTNER_DRUG_RES_FREQ_TO_5p,TIME_PARTNER_DRUG_RES_FREQ_TO_10p,TIME_PARTNER_DRUG_RES_FREQ_TO_20p
1.0,0.2,0.00,25.7562,35,45,35.8384,40.0849,,,,,,,3.43014,23.6849,26.6548,30.9233
1.0,0.2,0.00,31.3562,45,45,40.0849,40.0849,,,,,,,8.76438,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,22.5918,45,45,45
1.0,0.2,0.00,8.23014,23.2164,27.211,23.7808,30.9315,,,,,,,8.23014,20.6411,22.8603,25.9151
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,1.87945,36.7616,45,45
1.0,0.2,0.00,27.3507,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,39.9699,45,45,40.0849,40.0849,,,,,,,37.4466,45,45,45
1.0,0.2,0.00,20.2521,28.7151,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,1.79178,45,45,40.0849,40.0849,,,,,,,17.2082,39.2164,45,45
1.0,0.2,0.00,6.71233,45,45,40.0849,40.0849,,,,,,,21.2521,32.8329,45,45
1.0,0.2,0.00,21.6082,45,45,40.0849,40.0849,,,,,,,21.611,45,45,45
1.0,0.2,0.00,3.39178,45,45,34.2466,40.0849,,,,,,,5.81918,17,20.589,22.4274
1.0,0.2,0.00,24.6877,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,5.47671,45,45,45
1.0,0.2,0.00,8.27671,18.6356,45,40.0849,40.0849,,,,,,,13.8411,45,45,45
1.0,0.2,0.00,22.4411,29.337,38.926,35.8274,40.0849,,,,,,,11.9753,22.5562,24.6849,38.3288
1.0,0.2,0.00,35.1425,45,45,40.0849,40.0849,,,,,,,2.16438,6.31507,35.9452,38.4082
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,32.789,39.0932,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,11.8274,22.4192,28.7479,29.1562,39.8027,,,,,,,9.71507,25.537,28.0959,36.0164
1.0,0.2,0.00,8.86301,32.2329,37.1918,32.937,40.0849,,,,,,,15.5479,31.3288,32.2329,35.1452
1.0,0.2,0.00,33.6137,38.989,45,40.0849,40.0849,,,,,,,4.88219,36.463,38.7945,45
1.0,0.2,0.00,38.411,45,45,40.0849,40.0849,,,,,,,26.4055,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,29.3151,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,10.2164,38.6411,45,40.0849,40.0849,,,,,,,31.3589,35,38.2493,45
1.0,0.2,0.00,7.37808,23.7863,29.9644,25.063,34.9644,,,,,,,8.87123,20.2438,24.1452,27.5425
1.0,0.2,0.00,27.3753,39.8521,45,40.0849,40.0849,,,,,,,27.0164,37.8329,39.8219,45
1.0,0.2,0.00,1.36986,45,45,40.0849,40.0849,,,,,,,14.8575,32.9589,38.8877,45
1.0,0.2,0.00,14.537,33.1836,39.1425,33.1644,40.0849,,,,,,,15.137,19.2932,22.7096,31.7945
1.0,0.2,0.00,16.2438,45,45,40.0849,40.0849,,,,,,,33.3808,45,45,45
1.0,0.2,0.00,39.2027,45,45,40.0849,40.0849,,,,,,,29.3233,38.0192,45,45
1.0,0.2,0.00,19.2548,45,45,40.0849,40.0849,,,,,,,9.60548,45,45,45
1.0,0.2,0.00,28.7973,45,45,40.0849,40.0849,,,,,,,5.59726,35.9699,38.7589,45
1.0,0.2,0.00,36.1151,45,45,40.0849,40.0849,,,,,,,27.7973,45,45,45
1.0,0.2,0.00,4.53699,30.2685,45,40.0849,40.0849,,,,,,,30.189,39.937,45,45
1.0,0.2,0.00,12.1041,33.3123,37.2274,35.1534,40.0849,,,,,,,12.2548,25.4849,33.3123,36.7973
1.0,0.2,0.00,18.5397,45,45,40.0849,40.0849,,,,,,,8.83014,45,45,45
1.0,0.2,0.00,8.91507,34.7068,38.8521,34.8137,40.0849,,,,,,,4.48493,31.0082,34.7068,36.474
1.0,0.2,0.00,3.49863,45,45,40.0849,40.0849,,,,,,,11.4658,45,45,45
1.0,0.2,0.00,11.2247,19.011,23.1068,18.9644,27.0219,,,,,,,1.92877,11.337,14.326,19.6658
1.0,0.2,0.00,15.0384,45,45,40.0849,40.0849,,,,,,,4.52329,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,7.58082,45,45,45
1.0,0.2,0.00,6.67123,33.3425,37.4438,34.3507,39.0904,,,,,,,25.3479,29.3123,32.3096,35.6055
1.0,0.2,0.00,20.8548,29.4932,33.7918,31.5808,37.1397,,,,,,,3.91507,26.5041,29.6137,32.8247
1.0,0.2,0.00,20.8411,31.1397,34.1644,32.326,37.0137,,,,,,,6.04932,27.4466,31.1425,33.2712
1.0,0.2,0.00,25.0466,45,45,40.0849,40.0849,,,,,,,17.2822,45,45,45
1.0,0.2,0.00,14.737,26.2712,32.4603,27.074,38.0986,,,,,,,9.27123,15.4219,20.1808,27.1205
1.0,0.2,0.00,37.6493,45,45,40.0849,40.0849,,,,,,,7.27123,45,45,45
1.0,0.2,0.00,4.18356,45,45,40.0849,40.0849,,,,,,,4.19178,32.8164,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,20.9425,45,45,40.0849,40.0849,,,,,,,22.9452,31.0521,32.663,39.463
1.0,0.2,0.00,26.7123,45,45,40.0849,40.0849,,,,,,,32.211,45,45,45
1.0,0.2,0.01,4.13973,13.1014,16.3151,13.8493,18.9425,,,,,,,1.94247,7.84658,11.3534,14.063
1.0,0.2,0.01,45,45,45,40.0849,40.0849,,,,,,,0.0520548,25.6274,45,45
1.0,0.2,0.01,21.4164,45,45,40.0849,40.0849,,,,,,,2.00274,7.8274,16.7397,45
1.0,0.2,0.01,23.6685,45,45,40.0849,40.0849,,,,,,,0.367123,45,45,45
1.0,0.2,0.01,17.8521,45,45,40.0849,40.0849,,,,,,,0.0356164,45,45,45
1.0,0.2,0.01,28.8219,45,45,40.0849,40.0849,,,,,,,0.0328767,28.9342,31.0466,33.0548
1.0,0.2,0.01,10.4575,17.1589,23.9753,18.1945,27.074,,,,,,,0.0493151,5,13.4055,21.4959
1.0,0.2,0.01,31.7781,45,45,40.0849,40.0849,,,,,,,23.1151,45,45,45
1.0,0.2,0.01,45,45,45,40.0849,40.0849,,,,,,,0.506849,35.6959,45,45
1.0,0.2,0.01,2.66027,17,22.3918,18.5041,24.9151,,,,,,,0.0246575,9.40822,17,21.0137
1.0,0.2,0.01,7.22192,17.8685,45,40.0849,40.0849,,,,,,,0.030137,30.7781,36.8082,45
1.0,0.2,0.01,16.6027,45,45,40.0849,40.0849,,,,,,,0.161644,36.4822,45,45
1.0,0.2,0.01,5.62192,16.863,21.5178,19.3589,24.2384,,,,,,,0.0794521,11.0027,16.7836,20.0849
1.0,0.2,0.01,25.3699,45,45,40.0849,40.0849,,,,,,,0.649315,11.3342,25.1726,45
1.0,0.2,0.01,7.12603,24.5836,31.1507,25.8822,35.7151,,,,,,,0.115068,22.9123,25.1452,31.0466
1.0,0.2,0.01,8.77534,45,45,40.0849,40.0849,,,,,,,0.145205,45,45,45
1.0,0.2,0.01,17.4466,45,45,40.0849,40.0849,,,,,,,14.3973,45,45,45
1.0,0.2,0.01,13.4521,20.8904,25.1425,17.6137,27.3863,,,,,,,0.145205,1.78904,4.15068,9.10411
1.0,0.2,0.01,25.9753,33.7178,45,31.1205,40.0849,,,,,,,0.030137,7.65205,13.2603,25.7945
1.0,0.2,0.01,8.48219,45,45,40.0849,40.0849,,,,,,,0.265753,45,45,45
1.0,0.2,0.01,19.4493,45,45,39.5233,40.0849,,,,,,,0.112329,3.95068,15.137,32.7836
1.0,0.2,0.01,9.67397,14.7781,22.3644,20.1479,34.3973,,,,,,,0.117808,7.74521,12.4932,22.4219
1.0,0.2,0.01,45,45,45,40.0849,40.0849,,,,,,,0.0356164,19.2603,29.5589,45
1.0,0.2,0.01,8.13425,12.8137,16.211,14.4822,19.8932,,,,,,,0.230137,11.3315,12.7562,14.5644
1.0,0.2,0.01,11.5397,34.8356,45,40.0849,40.0849,,,,,,,0.208219,45,45,45
1.0,0.2,0.01,27.6192,45,45,40.0849,40.0849,,,,,,,0.309589,45,45,45
1.0,0.2,0.01,15.4712,21.4055,29.1836,26.2384,35.6082,,,,,,,0.273973,9.33699,21.1178,27.189
1.0,0.2,0.01,13.7644,19.5644,28.7781,22.0082,30.4493,,,,,,,0.0684932,17.5342,19.5644,27.0027
1.0,0.2,0.01,25.7918,45,45,40.0849,40.0849,,,,,,,0.564384,45,45,45
1.0,0.2,0.01,45,45,45,40.0849,40.0849,,,,,,,0.0520548,5.29863,45,45
1.0,0.2,0.01,4.08219,35.4438,45,23.2384,40.0849,,,,,,,0.572603,5.10685,10.4247,14.6603
1.0,0.2,0.01,32.0137,45,45,40.0849,40.0849,,,,,,,0.0630137,45,45,45
1.0,0.2,0.01,45,45,45,40.0849,40.0849,,,,,,,0.345205,45,45,45
1.0,0.2,0.01,11.8192,30.8274,34.2329,20.9041,34.0603,,,,,,,0.0767123,4.93425,8.93699,14.2411
1.0,0.2,0.01,7.15616,45,45,40.0849,40.0849,,,,,,,3.81096,45,45,45
