"Time","Lineage","Strains","Prob_LPF","Model"
-19.8356164383562,"0",0.990131865042897,0.972486,"Imperial"
-19.8356164383562,"32",0.00986813495710316,0.768484,"Imperial"
-19.7534246575342,"0",0.990121594102759,0.972486,"Imperial"
-19.7534246575342,"32",0.00987840589724051,0.768484,"Imperial"
-19.6712328767123,"0",0.990059686361805,0.972486,"Imperial"
-19.6712328767123,"32",0.00994031363819543,0.768484,"Imperial"
-19.5890410958904,"0",0.990214410426369,0.972486,"Imperial"
-19.5890410958904,"32",0.00978558957363089,0.768484,"Imperial"
-19.5068493150685,"0",0.990152349658435,0.972486,"Imperial"
-19.5068493150685,"32",0.00984765034156476,0.768484,"Imperial"
-19.4246575342466,"0",0.990147598476256,0.972486,"Imperial"
-19.4246575342466,"32",0.00985240152374367,0.768484,"Imperial"
-19.3424657534247,"0",0.990121749710815,0.972486,"Imperial"
-19.3424657534247,"32",0.00987825028918489,0.768484,"Imperial"
-19.2602739726027,"0",0.98989446312665,0.972486,"Imperial"
-19.2602739726027,"32",0.0101055368733498,0.768484,"Imperial"
-19.1780821917808,"0",0.990148997095597,0.972486,"Imperial"
-19.1780821917808,"32",0.00985100290440337,0.768484,"Imperial"
-19.0958904109589,"0",0.989963065103534,0.972486,"Imperial"
-19.0958904109589,"32",0.0100369348964661,0.768484,"Imperial"
-19.013698630137,"0",0.989966264910281,0.972486,"Imperial"
-19.013698630137,"32",0.010033735089719,0.768484,"Imperial"
-18.9315068493151,"0",0.989913438544682,0.972486,"Imperial"
-18.9315068493151,"32",0.0100865614553179,0.768484,"Imperial"
-18.8493150684932,"0",0.990034506472604,0.972486,"Imperial"
-18.8493150684932,"32",0.00996549352739623,0.768484,"Imperial"
-18.7671232876712,"0",0.989891695357959,0.972486,"Imperial"
-18.7671232876712,"32",0.0101083046420412,0.768484,"Imperial"
-18.6849315068493,"0",0.989924394590342,0.972486,"Imperial"
-18.6849315068493,"32",0.0100756054096576,0.768484,"Imperial"
-18.6027397260274,"0",0.98980510609345,0.972486,"Imperial"
-18.6027397260274,"32",0.01019489390655,0.768484,"Imperial"
-18.5205479452055,"0",0.989914964019064,0.972486,"Imperial"
-18.5205479452055,"32",0.010085035980936,0.768484,"Imperial"
-18.4383561643836,"0",0.989774782198657,0.972486,"Imperial"
-18.4383561643836,"32",0.0102252178013426,0.768484,"Imperial"
-18.3561643835616,"0",0.990000394709093,0.972486,"Imperial"
-18.3561643835616,"32",0.00999960529090747,0.768484,"Imperial"
-18.2739726027397,"0",0.989965454744097,0.972486,"Imperial"
-18.2739726027397,"32",0.0100345452559028,0.768484,"Imperial"
-18.1917808219178,"0",0.989895379285948,0.972486,"Imperial"
-18.1917808219178,"32",0.0101046207140521,0.768484,"Imperial"
-18.1095890410959,"0",0.990025922032875,0.972486,"Imperial"
-18.1095890410959,"32",0.00997407796712458,0.768484,"Imperial"
-18.027397260274,"0",0.989972605745504,0.972486,"Imperial"
-18.027397260274,"32",0.0100273942544957,0.768484,"Imperial"
-17.9452054794521,"0",0.989968920888566,0.972486,"Imperial"
-17.9452054794521,"32",0.0100310791114341,0.768484,"Imperial"
-17.8630136986301,"0",0.990014735911207,0.972486,"Imperial"
-17.8630136986301,"32",0.00998526408879289,0.768484,"Imperial"
-17.7808219178082,"0",0.989934571306684,0.972486,"Imperial"
-17.7808219178082,"32",0.010065428693316,0.768484,"Imperial"
-17.6986301369863,"0",0.989976844724118,0.972486,"Imperial"
-17.6986301369863,"32",0.0100231552758825,0.768484,"Imperial"
-17.6164383561644,"0",0.989972738546013,0.972486,"Imperial"
-17.6164383561644,"32",0.0100272614539867,0.768484,"Imperial"
-17.5342465753425,"0",0.989913380547226,0.972486,"Imperial"
-17.5342465753425,"32",0.0100866194527741,0.768484,"Imperial"
-17.4520547945205,"0",0.989971864162583,0.972486,"Imperial"
-17.4520547945205,"32",0.0100281358374167,0.768484,"Imperial"
-17.3698630136986,"0",0.989997422255909,0.972486,"Imperial"
-17.3698630136986,"32",0.0100025777440908,0.768484,"Imperial"
-17.2876712328767,"0",0.990067458090911,0.972486,"Imperial"
-17.2876712328767,"32",0.00993254190908945,0.768484,"Imperial"
-17.2054794520548,"0",0.990103844870824,0.972486,"Imperial"
-17.2054794520548,"32",0.00989615512917584,0.768484,"Imperial"
-17.1232876712329,"0",0.989916017625836,0.972486,"Imperial"
-17.1232876712329,"32",0.0100839823741643,0.768484,"Imperial"
-17.041095890411,"0",0.990073727695451,0.972486,"Imperial"
-17.041095890411,"32",0.00992627230454896,0.768484,"Imperial"
-16.958904109589,"0",0.990018355196212,0.972486,"Imperial"
-16.958904109589,"32",0.00998164480378765,0.768484,"Imperial"
-16.8767123287671,"0",0.989947362197886,0.972486,"Imperial"
-16.8767123287671,"32",0.0100526378021141,0.768484,"Imperial"
-16.7945205479452,"0",0.989901185507623,0.972486,"Imperial"
-16.7945205479452,"32",0.0100988144923766,0.768484,"Imperial"
-16.7123287671233,"0",0.989919475820131,0.972486,"Imperial"
-16.7123287671233,"32",0.010080524179869,0.768484,"Imperial"
-16.6301369863014,"0",0.989995673671075,0.972486,"Imperial"
-16.6301369863014,"32",0.0100043263289252,0.768484,"Imperial"
-16.5479452054795,"0",0.989957477254444,0.972486,"Imperial"
-16.5479452054795,"32",0.0100425227455563,0.768484,"Imperial"
