"Time","Lineage","Strains","Prob_LPF","Model"
-19.8356164383562,"0",0.980426093778574,0.915158,"Imperial"
-19.8356164383562,"4",0.00988459406108338,0.889945,"Imperial"
-19.8356164383562,"8",0.00968199340008099,0.858645,"Imperial"
-19.8356164383562,"12",0.000112517580872011,0.830015,"Imperial"
-19.7534246575342,"0",0.980349342006196,0.915158,"Imperial"
-19.7534246575342,"4",0.00983588880544933,0.889945,"Imperial"
-19.7534246575342,"8",0.00961643034714815,0.858645,"Imperial"
-19.7534246575342,"12",0.000121421849861883,0.830015,"Imperial"
-19.6712328767123,"0",0.980259984413493,0.915158,"Imperial"
-19.6712328767123,"4",0.00991395143133291,0.889945,"Imperial"
-19.6712328767123,"8",0.00964635724276178,0.858645,"Imperial"
-19.6712328767123,"12",0.000100066711140761,0.830015,"Imperial"
-19.5890410958904,"0",0.980231328803015,0.915158,"Imperial"
-19.5890410958904,"4",0.00988869941314108,0.889945,"Imperial"
-19.5890410958904,"8",0.00970290411273349,0.858645,"Imperial"
-19.5890410958904,"12",0.00010634903754121,0.830015,"Imperial"
-19.5068493150685,"0",0.980273478015063,0.915158,"Imperial"
-19.5068493150685,"4",0.00979993289328634,0.889945,"Imperial"
-19.5068493150685,"8",0.00978667534510461,0.858645,"Imperial"
-19.5068493150685,"12",0.000111615447577945,0.830015,"Imperial"
-19.4246575342466,"0",0.980340394277004,0.915158,"Imperial"
-19.4246575342466,"4",0.00982845146924728,0.889945,"Imperial"
-19.4246575342466,"8",0.00962340538071265,0.858645,"Imperial"
-19.4246575342466,"12",7.94861188614578e-05,0.830015,"Imperial"
-19.3424657534247,"0",0.979944640250203,0.915158,"Imperial"
-19.3424657534247,"4",0.00984752964781318,0.889945,"Imperial"
-19.3424657534247,"8",0.00979063113640489,0.858645,"Imperial"
-19.3424657534247,"12",8.27164067992886e-05,0.830015,"Imperial"
-19.2602739726027,"0",0.980088273667977,0.915158,"Imperial"
-19.2602739726027,"4",0.00987138974709632,0.889945,"Imperial"
-19.2602739726027,"8",0.00982374213249436,0.858645,"Imperial"
-19.2602739726027,"12",8.63732604260854e-05,0.830015,"Imperial"
-19.1780821917808,"0",0.980379649408285,0.915158,"Imperial"
-19.1780821917808,"4",0.00977727036285923,0.889945,"Imperial"
-19.1780821917808,"8",0.00973680358644336,0.858645,"Imperial"
-19.1780821917808,"12",0.000129245941747308,0.830015,"Imperial"
-19.0958904109589,"0",0.980088474192681,0.915158,"Imperial"
-19.0958904109589,"4",0.00990687846162101,0.889945,"Imperial"
-19.0958904109589,"8",0.00988574559636746,0.858645,"Imperial"
-19.0958904109589,"12",9.21786422086003e-05,0.830015,"Imperial"
-19.013698630137,"0",0.980175235390992,0.915158,"Imperial"
-19.013698630137,"4",0.0100007913220833,0.889945,"Imperial"
-19.013698630137,"8",0.00985433821346541,0.858645,"Imperial"
-19.013698630137,"12",9.07564550528656e-05,0.830015,"Imperial"
-18.9315068493151,"0",0.979930884326087,0.915158,"Imperial"
-18.9315068493151,"4",0.00992275049399816,0.889945,"Imperial"
-18.9315068493151,"8",0.00971515778585466,0.858645,"Imperial"
-18.9315068493151,"12",8.95535754264989e-05,0.830015,"Imperial"
-18.8493150684932,"0",0.980008084236692,0.915158,"Imperial"
-18.8493150684932,"4",0.0100412608609658,0.889945,"Imperial"
-18.8493150684932,"8",0.010007024276998,0.858645,"Imperial"
-18.8493150684932,"12",8.96058383695669e-05,0.830015,"Imperial"
-18.7671232876712,"0",0.980046977226774,0.915158,"Imperial"
-18.7671232876712,"4",0.00996870418125659,0.889945,"Imperial"
-18.7671232876712,"8",0.00980209416155545,0.858645,"Imperial"
-18.7671232876712,"12",8.97464662328921e-05,0.830015,"Imperial"
-18.6849315068493,"0",0.980123629235317,0.915158,"Imperial"
-18.6849315068493,"4",0.00999410129261376,0.889945,"Imperial"
-18.6849315068493,"8",0.00986034424125506,0.858645,"Imperial"
-18.6849315068493,"12",8.91027354539784e-05,0.830015,"Imperial"
-18.6027397260274,"0",0.980127694481638,0.915158,"Imperial"
-18.6027397260274,"4",0.0098466699341948,0.889945,"Imperial"
-18.6027397260274,"8",0.0098740244334044,0.858645,"Imperial"
-18.6027397260274,"12",8.89343980752379e-05,0.830015,"Imperial"
-18.5205479452055,"0",0.98021139440326,0.915158,"Imperial"
-18.5205479452055,"4",0.00999306434189564,0.889945,"Imperial"
-18.5205479452055,"8",0.00987698871019636,0.858645,"Imperial"
-18.5205479452055,"12",8.7527352297593e-05,0.830015,"Imperial"
-18.4383561643836,"0",0.980115033476954,0.915158,"Imperial"
-18.4383561643836,"4",0.00996006789437274,0.889945,"Imperial"
-18.4383561643836,"8",0.00993712513392726,0.858645,"Imperial"
-18.4383561643836,"12",8.65800865800866e-05,0.830015,"Imperial"
-18.3561643835616,"0",0.98006812402396,0.915158,"Imperial"
-18.3561643835616,"4",0.00986907321401509,0.889945,"Imperial"
-18.3561643835616,"8",0.00986260076024522,0.858645,"Imperial"
-18.3561643835616,"12",8.47349913146634e-05,0.830015,"Imperial"
-18.2739726027397,"0",0.980086093219027,0.915158,"Imperial"
-18.2739726027397,"4",0.0098034319567235,0.889945,"Imperial"
-18.2739726027397,"8",0.0100685575322583,0.858645,"Imperial"
-18.2739726027397,"12",8.40407611605428e-05,0.830015,"Imperial"
-18.1917808219178,"0",0.979919609284206,0.915158,"Imperial"
-18.1917808219178,"4",0.00994954532526001,0.889945,"Imperial"
-18.1917808219178,"8",0.0101562478384463,0.858645,"Imperial"
-18.1917808219178,"12",8.32223701731025e-05,0.830015,"Imperial"
-18.1095890410959,"0",0.980024896477899,0.915158,"Imperial"
-18.1095890410959,"4",0.00984744760642574,0.889945,"Imperial"
-18.1095890410959,"8",0.00994914981442547,0.858645,"Imperial"
-18.1095890410959,"12",8.3054163827606e-05,0.830015,"Imperial"
-18.027397260274,"0",0.979938436415619,0.915158,"Imperial"
-18.027397260274,"4",0.00988797181500523,0.889945,"Imperial"
-18.027397260274,"8",0.00997073023035022,0.858645,"Imperial"
-18.027397260274,"12",8.39665813006423e-05,0.830015,"Imperial"
-17.9452054794521,"0",0.980175503787834,0.915158,"Imperial"
-17.9452054794521,"4",0.00986466587934421,0.889945,"Imperial"
-17.9452054794521,"8",0.00978405151628264,0.858645,"Imperial"
-17.9452054794521,"12",8.16269320764184e-05,0.830015,"Imperial"
-17.8630136986301,"0",0.980069432245634,0.915158,"Imperial"
-17.8630136986301,"4",0.00994546869231828,0.889945,"Imperial"
-17.8630136986301,"8",0.0098205019224612,0.858645,"Imperial"
-17.8630136986301,"12",8.26958858796775e-05,0.830015,"Imperial"
-17.7808219178082,"0",0.980193615636482,0.915158,"Imperial"
-17.7808219178082,"4",0.0099583763522407,0.889945,"Imperial"
-17.7808219178082,"8",0.00992532094845592,0.858645,"Imperial"
-17.7808219178082,"12",0.000113079532604599,0.830015,"Imperial"
-17.6986301369863,"0",0.980161195870443,0.915158,"Imperial"
-17.6986301369863,"4",0.00983983513976821,0.889945,"Imperial"
-17.6986301369863,"8",0.00990492337462889,0.858645,"Imperial"
-17.6986301369863,"12",7.98926740824157e-05,0.830015,"Imperial"
-17.6164383561644,"0",0.980073617192479,0.915158,"Imperial"
-17.6164383561644,"4",0.00985186894146704,0.889945,"Imperial"
-17.6164383561644,"8",0.00998244135680888,0.858645,"Imperial"
-17.6164383561644,"12",9.31298857599917e-05,0.830015,"Imperial"
-17.5342465753425,"0",0.98007822992963,0.915158,"Imperial"
-17.5342465753425,"4",0.00988766904341674,0.889945,"Imperial"
-17.5342465753425,"8",0.00998944792718617,0.858645,"Imperial"
-17.5342465753425,"12",0.000108970930635734,0.830015,"Imperial"
-17.4520547945205,"0",0.980065506466588,0.915158,"Imperial"
-17.4520547945205,"4",0.00983017882933333,0.889945,"Imperial"
-17.4520547945205,"8",0.0098734107454344,0.858645,"Imperial"
-17.4520547945205,"12",0.000106951970752491,0.830015,"Imperial"
-17.3698630136986,"0",0.980147991663812,0.915158,"Imperial"
-17.3698630136986,"4",0.0098482180602793,0.889945,"Imperial"
-17.3698630136986,"8",0.00987944683738077,0.858645,"Imperial"
-17.3698630136986,"12",0.000111102881268054,0.830015,"Imperial"
-17.2876712328767,"0",0.980079354263693,0.915158,"Imperial"
-17.2876712328767,"4",0.00990588060155228,0.889945,"Imperial"
-17.2876712328767,"8",0.00996103883582282,0.858645,"Imperial"
-17.2876712328767,"12",0.000109608175101573,0.830015,"Imperial"
-17.2054794520548,"0",0.979974143954377,0.915158,"Imperial"
-17.2054794520548,"4",0.0100077430070049,0.889945,"Imperial"
-17.2054794520548,"8",0.00989319657438467,0.858645,"Imperial"
-17.2054794520548,"12",7.42641053404801e-05,0.830015,"Imperial"
-17.1232876712329,"0",0.98006983313872,0.915158,"Imperial"
-17.1232876712329,"4",0.00986206450442565,0.889945,"Imperial"
-17.1232876712329,"8",0.00990616872912236,0.858645,"Imperial"
-17.1232876712329,"12",0.000103574149183956,0.830015,"Imperial"
-17.041095890411,"0",0.980189520694688,0.915158,"Imperial"
-17.041095890411,"4",0.00984359013602424,0.889945,"Imperial"
-17.041095890411,"8",0.00980944413770071,0.858645,"Imperial"
-17.041095890411,"12",0.000103322146518902,0.830015,"Imperial"
-16.958904109589,"0",0.980077280576966,0.915158,"Imperial"
-16.958904109589,"4",0.00980179391765606,0.889945,"Imperial"
-16.958904109589,"8",0.00995550111589536,0.858645,"Imperial"
-16.958904109589,"12",0.000101949120262563,0.830015,"Imperial"
-16.8767123287671,"0",0.980278858579478,0.915158,"Imperial"
-16.8767123287671,"4",0.00980714134409182,0.889945,"Imperial"
-16.8767123287671,"8",0.00988680078198903,0.858645,"Imperial"
-16.8767123287671,"12",0.000104825465599776,0.830015,"Imperial"
-16.7945205479452,"0",0.980109072119369,0.915158,"Imperial"
-16.7945205479452,"4",0.00991556068038486,0.889945,"Imperial"
-16.7945205479452,"8",0.00984927314907657,0.858645,"Imperial"
-16.7945205479452,"12",0.000102543068088597,0.830015,"Imperial"
-16.7123287671233,"0",0.980009389683491,0.915158,"Imperial"
-16.7123287671233,"4",0.00985289373462172,0.889945,"Imperial"
-16.7123287671233,"8",0.00979876625890359,0.858645,"Imperial"
-16.7123287671233,"12",0.000102207724455329,0.830015,"Imperial"
-16.6301369863014,"0",0.980009889019482,0.915158,"Imperial"
-16.6301369863014,"4",0.00986036704732239,0.889945,"Imperial"
-16.6301369863014,"8",0.00982020986471915,0.858645,"Imperial"
-16.6301369863014,"12",0.000102602964704577,0.830015,"Imperial"
-16.5479452054795,"0",0.980196513694102,0.915158,"Imperial"
-16.5479452054795,"4",0.00995357042983336,0.889945,"Imperial"
-16.5479452054795,"8",0.00985071846975498,0.858645,"Imperial"
-16.5479452054795,"12",0.000104865928774434,0.830015,"Imperial"
-16.4657534246575,"0",0.98012347722866,0.915158,"Imperial"
-16.4657534246575,"4",0.00998344339221319,0.889945,"Imperial"
-16.4657534246575,"8",0.00984628880156318,0.858645,"Imperial"
-16.4657534246575,"12",0.000100840336134454,0.830015,"Imperial"
-16.3835616438356,"0",0.980158302065922,0.915158,"Imperial"
-16.3835616438356,"4",0.00983028008415487,0.889945,"Imperial"
-16.3835616438356,"8",0.00983734534565567,0.858645,"Imperial"
-16.3835616438356,"12",0.000102176356391131,0.830015,"Imperial"
