"Time","Lineage","Strains","Prob_LPF","Model"
-19.8356164383562,"0",0.98009393561604,0.962073,"Imperial"
-19.8356164383562,"1",0.00984083814042352,0.947158,"Imperial"
-19.8356164383562,"2",0.00992330649238036,0.905281,"Imperial"
-19.8356164383562,"3",0.000111231612024137,0.891124,"Imperial"
-19.7534246575342,"0",0.979986823187779,0.962073,"Imperial"
-19.7534246575342,"1",0.00985426868204608,0.947158,"Imperial"
-19.7534246575342,"2",0.0099766896058608,0.905281,"Imperial"
-19.7534246575342,"3",9.35703839483693e-05,0.891124,"Imperial"
-19.6712328767123,"0",0.980093891313252,0.962073,"Imperial"
-19.6712328767123,"1",0.00990323564813427,0.947158,"Imperial"
-19.6712328767123,"2",0.010003388885983,0.905281,"Imperial"
-19.6712328767123,"3",0.00010050924685071,0.891124,"Imperial"
-19.5890410958904,"0",0.980053329427233,0.962073,"Imperial"
-19.5890410958904,"1",0.00961604343810266,0.947158,"Imperial"
-19.5890410958904,"2",0.0100100565502023,0.905281,"Imperial"
-19.5890410958904,"3",0.00010564124234101,0.891124,"Imperial"
-19.5068493150685,"0",0.980181656902516,0.962073,"Imperial"
-19.5068493150685,"1",0.00966978951281768,0.947158,"Imperial"
-19.5068493150685,"2",0.0100366440474453,0.905281,"Imperial"
-19.5068493150685,"3",7.67842745805659e-05,0.891124,"Imperial"
-19.4246575342466,"0",0.979936601483912,0.962073,"Imperial"
-19.4246575342466,"1",0.00977435990977657,0.947158,"Imperial"
-19.4246575342466,"2",0.0100142783577691,0.905281,"Imperial"
-19.4246575342466,"3",8.0615963280012e-05,0.891124,"Imperial"
-19.3424657534247,"0",0.980021220650896,0.962073,"Imperial"
-19.3424657534247,"1",0.00968989752958017,0.947158,"Imperial"
-19.3424657534247,"2",0.0100848724480095,0.905281,"Imperial"
-19.3424657534247,"3",8.38952408842302e-05,0.891124,"Imperial"
-19.2602739726027,"0",0.980057067983614,0.962073,"Imperial"
-19.2602739726027,"1",0.00983912958024309,0.947158,"Imperial"
-19.2602739726027,"2",0.0100589221958239,0.905281,"Imperial"
-19.2602739726027,"3",8.48608337417045e-05,0.891124,"Imperial"
-19.1780821917808,"0",0.980098827771405,0.962073,"Imperial"
-19.1780821917808,"1",0.00988452521064518,0.947158,"Imperial"
-19.1780821917808,"2",0.00999645639492778,0.905281,"Imperial"
-19.1780821917808,"3",8.7898587509276e-05,0.891124,"Imperial"
-19.0958904109589,"0",0.980088139039218,0.962073,"Imperial"
-19.0958904109589,"1",0.00982007162622422,0.947158,"Imperial"
-19.0958904109589,"2",0.00999589450704873,0.905281,"Imperial"
-19.0958904109589,"3",8.92598365134578e-05,0.891124,"Imperial"
-19.013698630137,"0",0.979973637560247,0.962073,"Imperial"
-19.013698630137,"1",0.00983510924792651,0.947158,"Imperial"
-19.013698630137,"2",0.0101076145496433,0.905281,"Imperial"
-19.013698630137,"3",9.15667063455728e-05,0.891124,"Imperial"
-18.9315068493151,"0",0.980194819990922,0.962073,"Imperial"
-18.9315068493151,"1",0.00983732200145294,0.947158,"Imperial"
-18.9315068493151,"2",0.0101337877496803,0.905281,"Imperial"
-18.9315068493151,"3",8.99401897738004e-05,0.891124,"Imperial"
-18.8493150684932,"0",0.980209015346023,0.962073,"Imperial"
-18.8493150684932,"1",0.00980547182129419,0.947158,"Imperial"
-18.8493150684932,"2",0.0101263695520088,0.905281,"Imperial"
-18.8493150684932,"3",9.10873305849078e-05,0.891124,"Imperial"
-18.7671232876712,"0",0.980172398619121,0.962073,"Imperial"
-18.7671232876712,"1",0.00965740060053692,0.947158,"Imperial"
-18.7671232876712,"2",0.0102044311475001,0.905281,"Imperial"
-18.7671232876712,"3",9.08306462600481e-05,0.891124,"Imperial"
-18.6849315068493,"0",0.980138513329831,0.962073,"Imperial"
-18.6849315068493,"1",0.00974897565636394,0.947158,"Imperial"
-18.6849315068493,"2",0.0101374563121901,0.905281,"Imperial"
-18.6849315068493,"3",8.95036806118065e-05,0.891124,"Imperial"
-18.6027397260274,"0",0.980242780728682,0.962073,"Imperial"
-18.6027397260274,"1",0.00967037106513145,0.947158,"Imperial"
-18.6027397260274,"2",0.00988762504414227,0.905281,"Imperial"
-18.6027397260274,"3",9.04363554148768e-05,0.891124,"Imperial"
-18.5205479452055,"0",0.980373484502482,0.962073,"Imperial"
-18.5205479452055,"1",0.00968596880392743,0.947158,"Imperial"
-18.5205479452055,"2",0.00994167612839437,0.905281,"Imperial"
