PFPR,TREATMENT_COVERAGE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,TIME_PARTNER_DRUG_RES_FREQ_TO_1p,TIME_PARTNER_DRUG_RES_FREQ_TO_5p,TIME_PARTNER_DRUG_RES_FREQ_TO_10p,TIME_PARTNER_DRUG_RES_FREQ_TO_20p
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,16.1562,18.2137,18.863,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,32.8219,36.7178,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,24.0247,34.1534,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,35.3562,45,45,40.0849,40.0849,,,,,,,39.9096,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,36.1808,39.7507,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,36.326,45,45,40.0849,40.0849,,,,,,,36.3123,45,45,45
1.0,0.2,0.00,35.0521,45,45,40.0849,40.0849,,,,,,,31.1205,39.5452,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,8.31233,45,45,40.0849,40.0849,,,,,,,18.3205,45,45,45
1.0,0.2,0.00,13.8438,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,9.27397,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,3.29315,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,21.0877,24.3425,39.2356,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,13.1534,38.0658,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,34.0466,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,28.1233,45,45,45
1.0,0.2,0.00,14.5808,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,17.7863,36.4712,45,39.137,40.0849,,,,,,,17.7863,32.2027,36.4712,39.2466
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,2.67671,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,20.4877,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,9.61918,45,45,45
1.0,0.2,0.00,10.6164,45,45,40.0849,40.0849,,,,,,,45,45,45,45
