"FIRST_LINE","CLINICAL_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0.85,0.01,7.12328767123288,19.6986301369863,29.3972602739726,1.36986301369863,38.8493150684931,37,44,33,43,34,0.948075,7.3775
2,0.85,0.01,7.28767123287671,19.2054794520548,27.5890410958904,0.794520547945204,39.6712328767123,36,39,33,26,35,0.964125,7.371725
2,0.85,0.01,6.95890410958904,24.1369863013699,33.1780821917808,0.547945205479451,NA,28,42,51,41,42,0.836275,7.38625
2,0.85,0.01,5.80821917808219,20.7671232876712,29.2328767123288,0.136986301369863,37.041095890411,38,33,39,34,43,0.97085,7.3919
2,0.85,0.01,5.56164383561644,25.5342465753425,35.0684931506849,0.63013698630137,NA,40,34,41,46,33,0.8495,7.37165
2,0.85,0.01,6.21917808219178,24.0547945205479,34.3287671232877,2.19178082191781,39.7534246575342,41,39,43,47,32,0.894475,7.35225
2,0.85,0.01,7.12328767123288,22.7397260273973,31.2054794520548,1.28767123287671,NA,33,39,36,41,28,0.859,7.334125
2,0.85,0.01,7.61643835616438,21.9178082191781,29.8082191780822,0.301369863013697,NA,31,36,45,33,37,0.890325,7.261875
2,0.85,0.01,6.7945205479452,23.7260273972603,32.4383561643836,0.547945205479451,NA,34,37,37,37,33,0.8088,7.20615
2,0.85,0.01,5.31506849315069,20.9315068493151,28.0821917808219,0.465753424657535,NA,43,38,32,50,39,0.893275,7.422675
2,0.85,0.01,7.61643835616438,21.013698630137,31.6986301369863,0.712328767123289,38.2739726027397,25,29,38,38,37,0.9331,7.15765
2,0.85,0.01,5.15068493150685,19.1232876712329,27.9178082191781,1.12328767123288,39.2602739726027,36,38,40,33,43,0.958025,7.29565
2,0.85,0.01,4.16438356164383,15.7534246575342,25.7808219178082,1.78082191780822,36.5479452054795,32,33,30,47,36,1.03545,7.385725
2,0.85,0.01,7.45205479452055,17.1506849315069,24.7945205479452,0.794520547945204,NA,41,39,39,34,38,0.983325,7.4097
2,0.85,0.01,6.46575342465754,21.9178082191781,33.4246575342466,1.6986301369863,NA,36,40,36,47,39,0.86885,7.3369
2,0.85,0.01,7.2054794520548,22.3287671232877,30.2191780821918,0.712328767123289,NA,36,33,33,40,30,0.88425,7.25105
2,0.85,0.01,6.21917808219178,20.5205479452055,29.2328767123288,0.301369863013697,37.7808219178082,24,27,29,40,34,0.954225,7.469225
