"FIRST_LINE","INFECTION_DURATION_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,1.3,0.1,4,13.9452054794521,20.3561643835616,0.0547945205479436,24.0547945205479,30,23,25,27,33,1.39145,6.759275
2,1.3,0.1,5.31506849315069,16.6575342465753,22.3287671232877,0.136986301369863,27.0958904109589,23,15,30,36,20,1.215975,6.63785
2,1.3,0.1,3.83561643835617,17.4794520547945,23.6438356164384,0.136986301369863,28.1643835616438,24,26,22,25,20,1.2431,6.821025
2,1.3,0.1,6.38356164383562,21.9178082191781,29.0684931506849,0.136986301369863,33.4246575342466,22,23,21,25,33,1.04845,6.8959
2,1.3,0.1,5.80821917808219,14.7671232876712,21.2602739726027,0.219178082191782,27.6712328767123,35,48,34,45,36,1.2654,6.846425
2,1.3,0.1,6.21917808219178,17.8904109589041,23.5616438356164,0.136986301369863,26.8493150684931,23,18,23,27,19,1.28405,6.829775
2,1.3,0.1,13.3698630136986,26.1095890410959,31.3698630136986,0.136986301369863,34.0821917808219,33,21,26,33,25,0.993375,6.76315
2,1.3,0.1,6.13698630136986,18.0547945205479,24.8767123287671,0.136986301369863,28.9041095890411,20,17,28,25,20,1.2612,6.8247
2,1.3,0.1,7.6986301369863,22,29.1506849315069,0.136986301369863,33.7534246575342,20,29,23,33,20,1.0208,6.743975
2,1.3,0.1,5.3972602739726,15.4246575342466,20.8493150684931,0.63013698630137,26.027397260274,22,24,23,24,24,1.274775,6.6648
2,1.3,0.1,3.17808219178082,14.7671232876712,21.8356164383562,0.136986301369863,28.7397260273973,11,25,28,29,19,1.227925,6.706575
2,1.3,0.1,5.97260273972603,20.9315068493151,28.986301369863,0.136986301369863,33.3424657534247,18,26,33,33,27,1.0553,6.641925
2,1.3,0.1,4.49315068493151,15.8356164383562,21.3424657534247,0.0547945205479436,26.4383561643836,12,32,35,24,31,1.258,6.6869
2,1.3,0.1,3.75342465753425,15.3424657534247,21.013698630137,0.219178082191782,25.5342465753425,42,40,45,35,31,1.32835,6.7355
2,1.3,0.1,5.80821917808219,19.9452054794521,25.1232876712329,0.301369863013697,27.8356164383562,33,21,33,30,35,1.2291,6.82695
2,1.3,0.1,4,12.1369863013699,19.4520547945205,0.136986301369863,25.9452054794521,29,26,33,28,27,1.372425,6.8654
2,1.3,0.25,4.9041095890411,13.2876712328767,20.8493150684931,0.136986301369863,23.7260273972603,33,28,24,27,21,1.49465,6.887475
2,1.3,0.25,6.13698630136986,20.3561643835616,26.6027397260274,0.136986301369863,28.5753424657534,23,30,23,22,33,1.263375,6.9089
2,1.3,0.25,4.73972602739726,12.2191780821918,19.2876712328767,0.136986301369863,22.986301369863,17,20,21,19,27,1.534,6.871175
2,1.3,0.25,5.06849315068493,19.041095890411,24.8767123287671,0.136986301369863,26.7671232876712,26,29,32,19,23,1.272875,6.748725
2,1.3,0.25,8.19178082191781,20.027397260274,26.027397260274,0.136986301369863,27.5890410958904,21,29,19,27,27,1.35885,6.801
2,1.3,0.25,3.83561643835617,17.0684931506849,24.2191780821918,0.136986301369863,26.6849315068493,23,31,31,24,25,1.330175,6.691975
2,1.3,0.25,8.68493150684931,15.4246575342466,22.5753424657534,0.136986301369863,23.2328767123288,32,34,30,19,24,1.459175,6.86595
2,1.3,0.25,6.46575342465754,16.4109589041096,22,0.136986301369863,23.8904109589041,24,25,27,39,27,1.381925,6.716125
2,1.3,0.25,14.7671232876712,23.5616438356164,28.5753424657534,0.136986301369863,30.8767123287671,30,22,29,28,20,1.192475,6.726525
2,1.3,0.25,3.26027397260274,15.9178082191781,22.4109589041096,0.136986301369863,23.8082191780822,23,24,22,25,20,1.3744,6.6304
2,1.3,0.25,8.10958904109589,20.6027397260274,26.1917808219178,0.0547945205479436,28.5753424657534,22,20,29,29,20,1.32025,6.902925
2,1.3,0.25,5.31506849315069,20.027397260274,27.5890410958904,0.136986301369863,30.4657534246575,36,32,30,20,21,1.2272,6.780775
2,1.3,0.25,4.82191780821918,17.5616438356164,23.7260273972603,0.136986301369863,23.8904109589041,19,33,25,23,25,1.389075,6.748575
2,1.3,0.25,5.97260273972603,18.1369863013699,22.9041095890411,0.136986301369863,26.1095890410959,26,24,19,33,21,1.399,6.844275
2,1.3,0.25,5.06849315068493,15.5890410958904,21.6712328767123,0.136986301369863,22.8219178082192,25,19,29,23,25,1.483875,6.787575
2,1.3,0.25,4.82191780821918,16.2465753424658,21.3424657534247,0.136986301369863,24.2191780821918,30,30,23,31,21,1.3929,6.76035
2,1.3,0.25,7.2054794520548,16.3287671232877,21.5890410958904,0.136986301369863,23.0684931506849,26,31,18,26,33,1.469225,6.71995
2,1.3,0.25,5.80821917808219,12.7945205479452,17.8904109589041,0.136986301369863,20.8493150684931,25,22,30,29,29,1.61545,6.900425
2,1.3,0.25,5.64383561643836,16.7397260273973,22.7397260273973,0.136986301369863,25.2876712328767,17,19,31,26,16,1.4099,6.673975
2,1.3,0.25,5.72602739726027,20.1095890410959,26.5205479452055,0.136986301369863,28.7397260273973,22,22,37,40,27,1.317525,6.872375
2,1.3,0.25,9.0958904109589,18.958904109589,25.3698630136986,0.136986301369863,26.5205479452055,22,32,20,28,28,1.313475,6.810475
2,1.3,0.25,4.9041095890411,16.4109589041096,21.8356164383562,0.136986301369863,22.0821917808219,27,33,25,31,31,1.556125,7.016225
2,1.3,0.25,4.65753424657534,21.9178082191781,27.4246575342466,0.136986301369863,30.4657534246575,21,28,24,36,23,1.183675,6.724875
2,1.3,0.25,12.7123287671233,29.5616438356164,34.6575342465753,0.0547945205479436,35.3972602739726,22,34,25,20,15,1.05455,6.82145
2,1.3,0.25,9.50684931506849,17.8082191780822,23.8082191780822,0.136986301369863,25.2876712328767,32,24,30,27,23,1.31865,6.65955
2,1.3,0.25,4.82191780821918,14.8493150684931,19.9452054794521,0.136986301369863,22.5753424657534,27,33,26,27,27,1.554125,6.9418
2,1.3,0.25,8.68493150684931,21.5068493150685,27.2602739726027,0.136986301369863,29.3972602739726,22,28,29,26,20,1.153025,6.6767
2,1.3,0.25,8.10958904109589,22.3287671232877,28.7397260273973,0.136986301369863,30.6301369863014,27,23,24,25,25,1.249025,6.8651
2,1.3,0.25,7.53424657534246,16.8219178082192,21.2602739726027,0.136986301369863,22.4931506849315,30,40,24,24,23,1.481275,6.758775
2,1.3,0.25,5.23287671232877,20.9315068493151,26.8493150684931,0.136986301369863,28.4109589041096,14,26,22,29,22,1.270825,6.7689
2,1.3,0.25,4.73972602739726,16.986301369863,22.3287671232877,0.136986301369863,24.3835616438356,19,32,20,25,28,1.393175,6.644525
2,1.3,0.25,5.31506849315069,23.4794520547945,28.3287671232877,0.136986301369863,30.1369863013699,10,34,33,22,28,1.227025,6.701925
2,1.3,0.25,5.15068493150685,17.3150684931507,22.2465753424658,0.136986301369863,24.3835616438356,18,28,19,34,15,1.466075,6.889975
2,1.3,0.25,3.91780821917808,11.3150684931507,17.0684931506849,0.136986301369863,22.1643835616438,17,31,21,32,34,1.520575,6.758325
2,1.3,0.25,8.52054794520548,20.7671232876712,26.6849315068493,0.136986301369863,28.8219178082192,20,24,29,28,26,1.281575,6.804225
2,1.3,0.25,7.2054794520548,20.1095890410959,25.5342465753425,0.136986301369863,26.027397260274,18,37,34,26,24,1.295775,6.7375
2,1.3,0.25,8.02739726027397,21.3424657534247,27.0958904109589,0.136986301369863,29.4794520547945,20,22,18,19,24,1.250125,6.76945
2,1.3,0.25,6.13698630136986,20.1095890410959,25.2876712328767,0.136986301369863,27.9178082191781,35,28,30,33,29,1.332425,6.73305
2,1.3,0.25,5.89041095890411,20.1095890410959,25.9452054794521,0.0547945205479436,26.8493150684931,33,46,40,45,37,1.273375,6.684175
2,1.3,0.25,6.87671232876712,23.0684931506849,27.3424657534247,0.136986301369863,28.8219178082192,31,22,29,26,21,1.25945,6.805425
2,1.3,0.25,4.65753424657534,16.5753424657534,23.0684931506849,0.136986301369863,24.5479452054795,25,35,29,37,33,1.34485,6.64925
2,1.3,0.25,6.95890410958904,13.041095890411,17.7260273972603,0.0547945205479436,20.7671232876712,23,25,23,25,27,1.5588,6.695
2,1.3,0.25,7.12328767123288,16.7397260273973,22.986301369863,0.136986301369863,24.7123287671233,27,27,27,35,24,1.4185,6.866275
2,1.3,0.25,6.38356164383562,17.5616438356164,24.8767123287671,0.136986301369863,26.6027397260274,26,33,24,21,27,1.306325,6.682325
2,1.3,0.25,4.98630136986301,16.5753424657534,23.0684931506849,0.136986301369863,26.1095890410959,31,50,46,40,41,1.41805,6.862625
2,1.3,0.25,5.3972602739726,18.4657534246575,25.1232876712329,0.0547945205479436,26.9315068493151,22,28,22,24,25,1.31735,6.76445
2,1.3,0.25,4.73972602739726,15.0958904109589,20.9315068493151,0.136986301369863,22.5753424657534,16,19,23,35,41,1.52215,6.919825
2,1.3,0.25,5.89041095890411,16.8219178082192,22.6575342465753,0.136986301369863,24.7945205479452,18,26,28,20,28,1.469075,6.836025
2,1.3,0.25,8.19178082191781,21.013698630137,26.027397260274,0.0547945205479436,28.6575342465753,18,20,26,30,18,1.26695,6.719475
2,1.3,0.25,8.02739726027397,20.7671232876712,26.1917808219178,0.136986301369863,26.7671232876712,17,31,23,27,27,1.277,6.74945
2,1.3,0.5,3.83561643835617,12.0547945205479,18.6301369863014,0.136986301369863,18.1369863013699,35,43,40,47,38,1.76195,6.896275
2,1.3,0.5,5.64383561643836,15.5890410958904,21.013698630137,0.136986301369863,20.8493150684931,21,28,19,29,24,1.6487,6.8474
2,1.3,0.5,8.76712328767123,21.013698630137,26.3561643835616,0.136986301369863,26.4383561643836,25,17,25,25,18,1.44025,6.789075
2,1.3,0.5,6.71232876712329,17.1506849315069,23.2328767123288,0.136986301369863,19.5342465753425,28,29,28,29,22,1.58535,6.89845
2,1.3,0.5,2.93150684931507,10.986301369863,16.8219178082192,0.136986301369863,17.8904109589041,25,29,24,33,23,1.783225,6.819575
2,1.3,0.5,6.3013698630137,16.6575342465753,21.7534246575342,0.136986301369863,21.0958904109589,23,21,18,26,25,1.667625,6.846475
2,1.3,0.5,8.10958904109589,21.3424657534247,25.7808219178082,0.136986301369863,25.9452054794521,25,25,28,35,32,1.387075,6.8028
2,1.3,0.5,5.15068493150685,14.1095890410959,18.8767123287671,0.136986301369863,18.1369863013699,21,20,25,33,25,1.70785,6.9139
2,1.3,0.5,5.80821917808219,13.6986301369863,18.958904109589,0.136986301369863,19.4520547945205,26,34,22,30,27,1.702725,6.865425
2,1.3,0.5,6.95890410958904,19.6986301369863,26.6849315068493,0.136986301369863,25.9452054794521,21,27,30,23,25,1.4002,6.65835
2,1.3,0.5,5.64383561643836,17.4794520547945,23.972602739726,0.136986301369863,22.4109589041096,11,27,31,25,33,1.548275,6.838225
2,1.3,0.5,10,27.0958904109589,33.3424657534247,0.136986301369863,32.3561643835616,25,32,30,22,29,1.20245,6.6911
2,1.3,0.5,5.23287671232877,17.8904109589041,24.7123287671233,0.136986301369863,26.1095890410959,11,30,19,27,23,1.5194,6.871175
2,1.3,0.5,5.56164383561644,18.1369863013699,25.4520547945205,0.136986301369863,24.7123287671233,24,26,33,28,31,1.413475,6.63455
2,1.3,0.5,6.87671232876712,15.4246575342466,21.3424657534247,0.136986301369863,19.8630136986301,25,32,21,29,25,1.654525,6.922825
2,1.3,0.5,7.04109589041096,18.5479452054795,24.7123287671233,0.136986301369863,24.3835616438356,22,35,22,32,31,1.534275,6.903
2,1.3,0.5,4.24657534246575,13.041095890411,18.958904109589,0.136986301369863,20.027397260274,14,26,32,26,29,1.72955,6.794925
2,1.3,0.5,5.89041095890411,23.0684931506849,28.8219178082192,0.136986301369863,30.4657534246575,33,26,23,24,34,1.30865,6.6795
2,1.3,0.5,3.42465753424657,15.8356164383562,22.0821917808219,0.136986301369863,22.4931506849315,27,21,19,22,32,1.6322,6.872425
2,1.3,0.5,7.45205479452055,17.3972602739726,23.0684931506849,0.136986301369863,23.8082191780822,24,19,21,25,26,1.52175,6.765025
2,1.3,0.5,6.71232876712329,13.9452054794521,20.7671232876712,0.136986301369863,21.013698630137,27,28,32,30,31,1.6038,6.8739
2,1.3,0.5,6.3013698630137,17.1506849315069,22.7397260273973,0.136986301369863,22.5753424657534,15,31,31,26,28,1.5896,6.79625
2,1.3,0.5,5.56164383561644,17.8082191780822,22.3287671232877,0.136986301369863,22.6575342465753,20,21,17,32,22,1.587625,6.852775
2,1.3,0.5,4.32876712328767,14.6027397260274,21.1780821917808,0.136986301369863,22.4109589041096,26,34,32,28,32,1.595925,6.78615
2,1.3,0.5,9.58904109589041,20.2739726027397,26.4383561643836,0.136986301369863,25.9452054794521,15,20,23,20,29,1.40665,6.739325
2,1.3,0.5,5.56164383561644,16.8219178082192,21.1780821917808,0.136986301369863,22,19,28,27,30,29,1.664025,6.9165
2,1.3,0.5,4.65753424657534,13.9452054794521,19.2054794520548,0.0547945205479436,20.7671232876712,22,26,35,23,26,1.73595,6.968925
2,1.3,0.5,6.46575342465754,17.5616438356164,23.4794520547945,0.136986301369863,20.2739726027397,15,30,36,31,31,1.5686,6.763275
2,1.3,0.5,6.21917808219178,19.2876712328767,24.2191780821918,0.136986301369863,23.2328767123288,39,32,34,36,51,1.46555,6.6961
2,1.3,0.5,6.63013698630137,19.1232876712329,23.4794520547945,0.136986301369863,23.972602739726,22,28,22,23,24,1.54935,6.937
2,1.3,0.5,6.05479452054794,16.0821917808219,22.1643835616438,0.136986301369863,23.3972602739726,27,26,28,26,35,1.564925,6.8913
2,1.3,0.5,4.73972602739726,13.4520547945205,18.5479452054795,0.136986301369863,18.4657534246575,24,21,32,29,23,1.65725,6.6748
2,1.3,0.5,6.21917808219178,18.3013698630137,23.972602739726,0.136986301369863,21.2602739726027,27,24,23,28,21,1.498425,6.75285
2,1.3,0.5,6.13698630136986,14.8493150684931,20.3561643835616,0.136986301369863,20.9315068493151,28,16,28,20,29,1.645375,6.7376
2,1.3,0.5,6.63013698630137,18.4657534246575,23.5616438356164,0.136986301369863,24.3835616438356,27,26,33,31,30,1.511925,6.7835
