"FIRST_LINE","EC50_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,1,0.01,4.98630136986301,19.6986301369863,27.2602739726027,1.2054794520548,33.013698630137,42,44,54,44,38,1.268325,8.9526
2,1,0.01,4.9041095890411,15.1780821917808,21.2602739726027,1.12328767123288,33.7534246575342,44,51,50,45,57,1.34375,8.960325
2,1,0.01,7.53424657534246,22.6575342465753,30.5479452054795,4,39.4246575342466,37,49,47,42,41,1.0849,8.9856
2,1,0.01,7.36986301369863,21.013698630137,28.4109589041096,0.301369863013697,39.8356164383562,43,32,51,27,38,1.106,8.89985
2,1,0.01,6.63013698630137,20.1917808219178,26.3561643835616,0.136986301369863,33.0958904109589,35,35,39,35,38,1.310975,8.982625
2,1,0.01,4.98630136986301,19.8630136986301,25.1232876712329,0.383561643835616,33.013698630137,28,38,27,57,40,1.278375,8.863
2,1,0.01,4.9041095890411,16.2465753424658,23.8904109589041,1.45205479452055,32.6849315068493,32,33,51,38,34,1.3699,9.02395
2,1,0.01,11.3972602739726,22.4109589041096,29.6438356164384,0.301369863013697,38.6027397260274,39,35,41,45,33,1.143925,8.990775
2,1,0.01,6.87671232876712,17.1506849315069,23.8082191780822,0.219178082191782,33.4246575342466,31,48,36,45,36,1.35275,8.926375
2,1,0.01,6.3013698630137,16.4109589041096,22.6575342465753,0.301369863013697,31.8630136986301,41,28,34,45,36,1.413475,8.8722
2,1,0.01,5.72602739726027,17.3150684931507,25.1232876712329,0.0547945205479436,36.3835616438356,43,37,42,37,38,1.24705,8.88125
2,1,0.01,6.13698630136986,17.2328767123288,23.4794520547945,0.301369863013697,33.5890410958904,37,56,59,47,48,1.336975,8.9362
2,1,0.01,5.97260273972603,18.5479452054795,24.7123287671233,0.219178082191782,35.3972602739726,31,44,39,56,35,1.217025,8.833225
2,1,0.01,6.63013698630137,18.7945205479452,25.2054794520548,0.794520547945204,33.7534246575342,44,37,35,45,41,1.328575,8.9426
2,1,0.01,5.80821917808219,19.3698630136986,26.4383561643836,1.86301369863014,38.9315068493151,50,55,45,42,59,1.171225,8.925225
2,1,0.01,6.63013698630137,19.4520547945205,27.7534246575342,0.794520547945204,NA,36,48,32,39,33,1.108625,8.8826
2,1,0.01,5.97260273972603,14.9315068493151,23.0684931506849,0.219178082191782,32.7671232876712,35,43,40,52,39,1.385025,9.02055
2,1,0.01,6.54794520547945,20.1917808219178,27.5890410958904,0.547945205479451,38.4383561643836,37,29,45,36,49,1.171825,8.8826
2,1,0.01,6.71232876712329,17.0684931506849,24.4657534246575,0.63013698630137,35.8904109589041,28,40,37,41,33,1.270975,8.8652
2,1,0.01,8.27397260273973,21.0958904109589,28.4931506849315,1.12328767123288,36.6301369863014,36,48,42,44,34,1.245025,9.030275
2,1,0.01,7.2054794520548,22.4931506849315,28.986301369863,0.136986301369863,38.1095890410959,40,39,36,45,47,1.135975,8.8874
2,1,0.01,4.49315068493151,17.3150684931507,23.4794520547945,0.794520547945204,37.1232876712329,53,44,62,64,46,1.22565,9.006225
2,1,0.01,7.28767123287671,17.972602739726,24.7945205479452,0.301369863013697,36.7945205479452,32,34,41,42,42,1.24255,8.9043
2,1,0.01,6.05479452054794,19.041095890411,26.6849315068493,0.958904109589042,37.3698630136986,46,45,43,33,33,1.2368,8.9511
2,1,0.01,4.08219178082192,15.2602739726027,22.1643835616438,1.78082191780822,32.6027397260274,43,49,40,43,37,1.34515,8.949275
2,1,0.01,4.08219178082192,14.2739726027397,23.2328767123288,0.794520547945204,39.5068493150685,46,55,57,59,44,1.171325,8.679225
2,1,0.01,4.24657534246575,20.1917808219178,28.1643835616438,1.2054794520548,34.6575342465753,45,48,44,56,30,1.263225,8.844425
2,1,0.01,6.71232876712329,20.4383561643836,27.5890410958904,0.547945205479451,35.6438356164384,39,47,45,29,35,1.193875,8.936925
2,1,0.01,3.0958904109589,15.0958904109589,21.7534246575342,0.465753424657535,34.6575342465753,59,48,44,63,44,1.357375,8.95065
2,1,0.01,5.80821917808219,17.7260273972603,24.7123287671233,2.10958904109589,36.6301369863014,25,37,39,40,44,1.2548,8.805725
2,1,0.01,6.95890410958904,19.6986301369863,26.9315068493151,3.34246575342466,38.6027397260274,40,42,42,40,46,1.175075,8.9087
2,1,0.01,4.57534246575343,18.958904109589,28.9041095890411,1.36986301369863,38.3561643835616,32,38,62,48,45,1.16505,8.906775
2,1,0.01,7.04109589041096,21.0958904109589,27.9178082191781,0.63013698630137,36.4657534246575,32,40,41,39,43,1.22435,8.9136
2,1,0.01,5.56164383561644,19.7808219178082,26.2739726027397,0.0547945205479436,33.3424657534247,49,52,48,48,52,1.29745,8.8513
2,1,0.01,4.24657534246575,19.6164383561644,28,0.547945205479451,35.3150684931507,40,45,35,44,46,1.22425,8.85765
2,1,0.01,7.86301369863014,20.1095890410959,28.4931506849315,0.547945205479451,39.6712328767123,48,42,41,47,33,1.17105,8.885725
2,1,0.01,11.3972602739726,22.986301369863,30.958904109589,0.383561643835616,37.041095890411,36,42,43,39,52,1.140925,8.92625
