FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
2,0.1,6.67123288,22.9315068,26.4328767,21.3452055,34.690411,133,140,177,172,165,21.847,1494237
2,0.1,7.00547945,19.0136986,24.3479452,22.0164384,34.3534247,144,152,147,154,156,21.8362,1484441
2,0.1,21.1013699,35.0246575,38.2739726,34.8575342,45,124,139,156,133,152,21.1842,1505658
2,0.25,4.92054795,9.84109589,13.8438356,8.09041096,21.0164384,151,165,132,157,165,23.0702,1485384
2,0.25,4.41917808,12.339726,16.1753425,9.16986301,23.7643836,128,172,123,141,147,22.8897,1488542
2,0.25,14.4246575,19.260274,24.1013699,17.7616438,32.8575342,148,116,134,127,136,22.0618,1483080
2,0.25,11.9232877,17.260274,21.0164384,17.0986301,28.2684932,131,127,157,154,121,22.4,1488822
2,0.25,3.91780822,13.0109589,17.1753425,12.7589041,26.4328767,124,152,147,152,143,22.5595,1495617
2,0.25,21.0164384,28.1041096,31.8547945,28.5178082,39.7753425,138,137,150,131,150,21.6493,1512843
2,0.25,6.83835616,15.6767123,19.6794521,12.5917808,26.6,153,152,145,150,172,22.4816,1486800
2,0.25,21.5972603,28.1835616,31.2684932,27.4328767,39.7753425,155,155,113,147,176,21.5208,1507209
2,0.25,8.42191781,18.260274,22.1013699,18.9287671,30.9369863,146,130,150,143,157,22.1668,1498603
2,0.25,5.41917808,13.0958904,17.6794521,12.0082192,24.2657534,141,152,140,178,156,22.7596,1485235
2,0.25,4.92054795,11.0931507,15.339726,8.3369863,20.6821918,123,133,145,138,156,23.1465,1488256
2,0.25,8.25479452,16.6794521,21.9315068,19.5945205,31.2684932,136,135,145,144,138,22.0749,1490500
2,0.25,6.67123288,16.9287671,22.1013699,13.5068493,32.3534247,128,108,141,128,161,22.194,1501765
2,0.25,5.75342466,11.9232877,17.9287671,11.7561644,27.2657534,150,116,149,130,146,22.6219,1491579
2,0.25,11.8410959,20.0136986,23.5972603,1.00273973,30.6027397,138,147,155,143,147,22.1946,1486285
2,0.25,4.08767123,13.5917808,17.6794521,12.5068493,24.9342466,136,133,167,133,162,22.6701,1482876
2,0.25,17.9287671,23.1013699,26.5150685,21.430137,35.4383562,132,152,122,134,145,21.7822,1494078
2,0.25,11.3369863,19.509589,22.8493151,17.509589,29.769863,123,126,130,134,157,22.3948,1498821
2,0.25,3.16438356,12.8438356,17.3424658,13.1726027,27.2657534,113,135,139,165,151,22.5014,1497575
2,0.25,11.9232877,22.8493151,25.8520548,19.8465753,32.5205479,139,115,167,146,127,22.0354,1487270
2,0.5,2.33150685,9.25479452,12.8438356,1.24931507,18.260274,126,132,122,130,151,23.3412,1483488
2,0.5,4.92054795,12.8438356,16.0958904,7.33424658,23.0164384,123,125,145,139,147,22.9206,1490859
2,0.5,4.50136986,10.6739726,14.7589041,4.00273973,21.7643836,134,151,132,139,128,23.049,1481612
2,0.5,7.16712329,14.8438356,18.8465753,10.8410959,24.4328767,135,143,153,122,141,22.8632,1499457
2,0.5,6.09041096,18.0986301,21.8493151,14.7589041,27.9342466,128,150,106,144,153,22.5254,1487900
2,0.5,20.6821918,30.4356164,35.3534247,0.668493151,45,126,142,149,129,126,21.3243,1506046
2,0.5,10.2547945,20.8493151,23.7643836,17.0136986,30.769863,127,116,139,131,134,22.1283,1494136
2,0.5,8.42191781,16.8465753,21.430137,3.00273973,26.6849315,121,124,125,127,143,22.5111,1483336
2,0.5,7.16712329,12.7589041,17.0136986,6.16712329,24.5150685,129,144,151,117,123,22.8393,1475286
2,0.5,6.83835616,13.0958904,17.0136986,3.41643836,22.1780822,130,127,136,127,145,23.0223,1492990
2,0.5,9.09315068,14.0109589,16.9287671,2.91780822,22.6821918,122,130,140,147,139,22.9525,1473037
2,0.5,3.83561644,10.6739726,13.6767123,4.58630137,19.4273973,128,133,149,130,110,23.3434,1488108
2,0.5,6.50136986,13.6767123,17.0986301,4.33424658,22.5123288,136,133,143,124,126,22.92,1481558
2,0.5,4.50136986,10.4219178,13.5068493,7.33424658,21.0164384,109,115,133,142,125,23.1382,1482658
2,0.5,7.58630137,16.8465753,20.0986301,11.169863,27.0191781,132,122,128,147,142,22.5935,1490176
2,0.5,6.67123288,15.6767123,19.0136986,3.91780822,23.7643836,115,128,139,130,136,22.7346,1489073
2,0.5,5.75342466,11.6739726,15.2575342,3.33150685,21.3452055,137,109,113,132,121,22.9382,1473325
2,0.5,5.00547945,12.2575342,15.0958904,2.16438356,20.2630137,117,141,140,120,145,23.0902,1476410
2,0.5,6.58630137,14.0958904,16.7616438,5.09041096,21.0164384,120,120,131,121,122,23.0319,1478630
2,0.5,5.75342466,12.4246575,16.0109589,3.00273973,22.1780822,125,126,161,130,152,22.9259,1474500
1,0,21.0164384,29.1835616,33.1863014,31.6027397,39.3561644,319,324,336,324,341,21.0307,1488385
1,0,7.75342466,17.0986301,21.3452055,19.8465753,27.2657534,296,320,299,335,340,22.2443,1477270
1,0,8.6739726,16.6794521,20.9315068,18.0986301,26.9342466,287,310,344,326,336,22.2597,1490049
1,0,20.1780822,28.8547945,32.5205479,30.6027397,37.1890411,277,309,327,319,327,21.1799,1515020
1,0,6.67123288,19.1753425,22.5972603,21.5972603,27.6849315,290,326,335,299,304,22.0622,1472125
1,0,11.5890411,18.8465753,23.7643836,23.5972603,31.1835616,308,316,328,316,344,21.7547,1484615
1,0,9.09315068,15.4246575,18.9287671,17.9287671,24.6849315,295,322,273,306,351,22.1569,1463286
1,0,20.0986301,27.0191781,30.1835616,26.6,34.8575342,305,327,332,327,331,21.4554,1486224
1,0,13.5917808,23.0164384,26.9342466,24.9342466,33.2712329,325,303,322,306,387,21.6982,1489363
1,0,20.8493151,27.5150685,30.9369863,30.4356164,37.9424658,271,327,295,317,345,21.0984,1497296
1,0,8.6739726,19.509589,23.0164384,21.6821918,28.5178082,302,294,316,331,344,21.9763,1471786
1,0,20.6821918,27.9342466,31.769863,28.1835616,36.9424658,286,299,292,309,328,21.3213,1489898
1,0,4.16712329,15.5917808,18.7616438,18.0986301,25.9342466,288,324,284,295,322,22.326,1467445
1,0,3.24931507,15.7589041,22.1780822,23.1780822,29.9369863,320,311,305,336,326,21.8603,1491099
1,0,21.2630137,27.1808219,30.0219178,28.0191781,35.1863014,316,305,324,325,345,21.3749,1498500
1,0,27.0191781,38.2739726,45,37.7753425,45,297,306,303,339,334,20.7801,1505545
1,0,26.3479452,32.6054795,35.939726,29.8547945,45,324,289,307,322,330,20.9906,1498515
1,0,7.00547945,20.7643836,24.6849315,24.8520548,31.8547945,291,357,343,350,363,21.7889,1495195
1,0,7.75342466,19.9287671,25.0191781,25.7671233,33.2712329,317,324,329,354,315,21.5928,1491528
1,0,14.339726,30.0219178,33.1863014,25.3479452,37.6082192,317,297,331,325,366,21.3652,1497601
1,0.01,30.3506849,36.0246575,38.6931507,31.2684932,45,324,308,264,344,356,20.9783,1504572
1,0.01,8.42191781,19.4273973,23.7643836,20.1780822,28.8547945,305,326,301,296,314,22.0582,1477807
1,0.01,23.1013699,28.769863,32.2712329,27.1808219,36.1890411,311,320,321,348,326,21.4213,1486654
1,0.01,5.33424658,14.6767123,18.260274,16.8465753,24.4328767,305,293,344,313,327,22.3314,1475937
1,0.01,20.5123288,26.4328767,28.8547945,24.2657534,33.690411,273,312,326,305,357,21.6559,1491126
1,0.01,17.7616438,26.0191781,29.0219178,26.3479452,34.939726,316,291,270,308,312,21.4833,1475156
1,0.01,16.8465753,26.0191781,29.6876712,22.8493151,35.6054795,278,330,301,357,310,21.4921,1500960
1,0.01,12.8438356,21.5123288,25.8520548,22.1013699,30.9369863,309,335,317,306,348,21.7924,1471394
1,0.01,12.5068493,19.1753425,22.430137,18.5945205,28.6027397,311,313,286,320,313,22.1389,1479940
1,0.01,5.83835616,15.8438356,20.0136986,15.9260274,26.1041096,303,308,326,328,307,22.4235,1479562
1,0.01,16.8465753,25.3479452,28.769863,23.5123288,34.4383562,314,309,290,303,324,21.5583,1495332
1,0.01,2.16438356,17.5945205,23.5123288,22.7643836,30.1835616,307,311,321,308,352,21.9027,1487127
1,0.01,4.00273973,20.7643836,23.9315068,23.0164384,30.2684932,306,329,288,308,351,21.9195,1488424
1,0.01,13.7589041,23.5972603,26.6,22.3452055,31.1835616,325,335,294,305,330,21.8713,1482760
1,0.01,15.8438356,22.7643836,25.6849315,22.1780822,32.1068493,316,289,298,289,343,21.8339,1479686
1,0.01,22.8493151,30.8547945,33.5205479,25.9342466,37.1123288,266,319,339,318,367,21.3569,1503941
1,0.01,18.7616438,25.5150685,28.769863,25.1808219,33.8575342,291,292,317,338,362,21.4841,1481899
1,0.01,17.1753425,30.8547945,33.5205479,30.2684932,39.4410959,340,278,316,301,357,21.2726,1496802
1,0.01,27.4328767,33.8575342,37.1890411,28.3506849,45,328,305,282,324,312,21.1993,1497747
1,0.01,9.25479452,21.0164384,24.3479452,19.8465753,29.769863,274,296,300,351,307,22.0192,1472983
1,0.1,15.9260274,23.5123288,26.3479452,18.1753425,30.4356164,290,305,300,288,284,21.9123,1471036
1,0.1,11.9232877,17.9287671,21.0164384,13.2575342,25.5150685,288,286,270,286,285,22.2968,1468276
1,0.1,8.00547945,13.2575342,17.0986301,12.8438356,21.1780822,278,294,297,311,345,22.8156,1469375
1,0.1,18.5945205,24.5150685,27.4328767,16.4273973,31.1835616,297,334,286,304,326,21.8845,1475322
1,0.1,5.92054795,13.4246575,16.1753425,13.4246575,21.1013699,270,296,277,323,314,22.66,1461501
1,0.1,14.1726027,23.1780822,26.5150685,16.1753425,30.2684932,256,288,298,319,316,22.0372,1482259
1,0.1,13.5917808,19.260274,21.8493151,16.4273973,26.9342466,295,285,285,316,328,22.2084,1481553
1,0.1,19.4273973,24.6,27.4328767,20.7643836,31.9369863,272,268,297,318,280,21.9185,1487943
1,0.1,7.09041096,14.6767123,17.4273973,12.8438356,21.6821918,268,273,282,299,310,22.6839,1459206
1,0.1,6.75342466,22.5123288,25.2657534,20.9315068,30.0219178,294,276,305,321,373,22.0129,1481148
1,0.1,8.92328767,18.8465753,21.9315068,15.1726027,25.6849315,261,275,273,325,289,22.4996,1479649
1,0.1,6.83835616,12.7589041,15.5068493,12.0931507,20.5972603,294,292,290,300,277,22.6166,1463953
1,0.1,13.7589041,19.0136986,21.5972603,13.6767123,25.6849315,283,297,310,316,315,22.2886,1458638
1,0.1,9.25479452,15.0958904,17.5945205,12.5917808,22.430137,272,301,297,317,324,22.6212,1467288
1,0.1,9.16986301,13.5917808,16.3424658,13.4246575,20.5972603,272,292,308,299,354,22.6726,1466832
1,0.1,5.83835616,11.0931507,14.4246575,12.4246575,20.1780822,251,282,279,268,270,22.7299,1458164
1,0.1,5.50136986,10.2547945,12.4246575,10.9232877,17.260274,306,272,305,347,296,23.0181,1454479
1,0.1,8.25479452,16.8465753,21.6821918,14.6767123,25.1808219,292,280,297,299,300,22.3798,1482146
1,0.1,10.169863,17.1753425,20.7643836,17.7616438,26.1808219,290,269,281,287,313,22.1596,1469094
1,0.1,7.25205479,14.1726027,18.7616438,14.2575342,22.430137,265,256,299,307,312,22.5207,1481218
